ref,reactant_3.abbrev,reactant_3.compound,outcome,reactant_3.smiles
ke28.1,5-atmchma,"5-amino-1,3,3-trimethylcyclohexamethylamine, mix of cis and trans",3,CC1(CC(CC(C1)(C)CN)N)C
ke28.2,3-dbapa,3-(dibutylamino)propylamine,3,CCCCN(CCCC)CCCN
ke28.3,"1,3-chbma","1,3-cyclohexanebis(methylamine), mix of isomers",4,NCC1CCCC(CN)C1
ke28.4,3-deap,3-(diethylamino)propylamine,4,CCN(CC)CCCN
ke28.5,tmpda,"N,N,N',N'-tetramethyl-1,3-propanediamine",3,CN(C)CCCN(C)C
ke28.6,tmdp,"4,4'-trimethylenedipiperidine",3,C1CNCCC1CCCC2CCNCC2
ke28.7,tmbda,"N,N,N',N'-tetramethyl-1,3-butanediamine",3,CC(CCN(C)C)N(C)C
ke28.8,"4,4'-mbmcha","4,4'-methylenebis(2-methylcyclohexylamine), mixture of isomers",3,NC2CCC(CC1CCC(N)C(C)C1)CC2C
ke28.9,2-amp,2-(aminomethyl)piperidine,3,C1=CC=NC(=C1)CN
ke28.10,3-dmpa,3-(dimethylamino)-1-propylamine,3,CN(C)CCCN
ke28.11,"N,N,2,2-tmpd","N,N,2,2-tetramethyl-1,3-propanediamine",3,CC(C)(CN)CN(C)C
ke28.12,2-adeap,2-Amino-5-diethylaminopentane,3,CCN(CC)CCCC(C)N
ke28.13,N-peda,N-propylethylenediamine,3,CCCNCCN
ke28.14,1-chp,1-cyclohexylpiperazine,3,C1=CC=C(C=C1)OC(=O)N
ke28.15,3-mapa,3-(methylamino)propylamine,4,CNCCCN
ke28.16,4-1-pp,4-(1-pyrrolidinyl)piperidine,3,C1CCN(C1)C2CCNCC2
ke28.17,3-apdhcl,3-Aminopyrrolidine dihydrochloride,4,C1CNCC1N
ke28.18,4-apip,4-Aminopiperidine,4,C1=CN=CC=C1N
ke28.19,"N,N'-dipeda","N,N'-diisopropylethylenediamine",3,CC(C)NCCNC(C)C
ke28.20,1-2-aep,1-(2-Aminoethyl)pyrrolidine,3,C1CCN(C1)CCN
ke28.21,"N,N'-dmhda","N,N'-dimethyl-1,6-hexanediamine",3,N(CCCCCCNC)C
ke28.22,"2,3-dmp","2,3-dimethylpiperazine",3,CC1C(NCCN1)C
ke28.23,N-ippda,"N-isopropyl-1,3-propanediamine",3,CC(C)NCCCN
ke28.24,N-ppda,"N-propyl-1,3-propanediamine",3,NCCCNCCC
