SMILES,SUPPLIER_NAME,CATALOG_NUMBER,CAS,CHEMICAL_NAME,EMOLECULES_ID
NCCN1CCCCC1.Cl,ChemiK,CHH15527,27578-60-5,1-(2'-Aminoethyl)-piperidine hydrochloride,45989407
CC1CCN(CC1)C1CCN(CC1)C,ChemBridge,5463643,,,2074155
N1CCC(CC1)C1CCNCC1.Cl,TimTec,ST070931,,,8316915
CN(CC1CCC=CC1)CCN(C)C,ChemBridge,5431361,,,2073139
CCN(CC1CCCCC1)CCN(CC)CC,ChemBridge,5429492,,,2072863
CCCCNc1ccc(cc1)NCCCC,Sigma Aldrich,R466557,,"N,N'-DIBUTYL-BENZENE-1,4-DIAMINE",636956
CC([C@H]1NC[C@H](NC1)C(C)C)C,Anichem,31421,,"(2R,5R)-2,5-Diisopropyl-piperazine",44825621
C1CN[C@@H](CN1)C1CC1,Anichem,31390,,(S)-2-Cyclopropyl-piperazine,44825449
CC1CCCC(N1CC1CCCCCN1)C,Vitas M Labs,STK893743,,"2-[(2,6-dimethylpiperidin-1-yl)methyl]azepane",30519044
CCN(CCN(C1CCC(CC1)CC)C)CC,ChemBridge,5416620,,,2071388
CCCN1CCC(CC1)CN1CCCC1,Enamine,Z433796480,,,36271453
CCCCN1CCC(CC1)CN.Cl.Cl,AstaTech,51924,62281-15-6,4-AMINOMETHYL-1-N-BUTYLPIPERIDINE 2HCL,17413246
CNCCCCCCCCCCCCNC,Apollo Scientific,OR0811,56992-91-7,"N,N'-Dimethyldodecane-1,12-diamine 97%",933294
FC(CNC1CCN(CC1)C)F,Zelinsky Institute,B039722,,"N-(2,2-difluoroethyl)-1-methylpiperidin-4-amine",31654426
NCCNCC1CC(C1)C,Princeton BioMolecular Research,PBMR160177,,"N*1*-(3-Methyl-cyclobutylmethyl)-ethane-1,2-diamine",44152936
CNCC1CCCCN1C,Matrix Scientific,040296,184637-50-1,N-Methyl-1-(1-methylpiperidin-2-yl)methanamine,3724971
C1CCC2(CN1)CNCC2,Bepharm,B215911,40865-50-7,"2,7-Diazaspiro[4.5]decane",44151931
