temp,time,slowCool,pH,leak,numberInorg,numberOrg,numberOxlike,numberComponents,orgavgpolMax,orgrefractivityMax,orgmaximalprojectionareaMax,orgmaximalprojectionradiusMax,orgmaximalprojectionsizeMax,orgminimalprojectionareaMax,orgminimalprojectionradiusMax,orgminimalprojectionsizeMax,orgavgpol_pHdependentMax,orgmolpolMax,orgvanderwaalsMax,orgASAMax,orgASA+Max,orgASA-Max,orgASA_HMax,orgASA_PMax,orgpolarsurfaceareaMax,orghbdamsaccMax,orghbdamsdonMax,orgavgpolMin,orgrefractivityMin,orgmaximalprojectionareaMin,orgmaximalprojectionradiusMin,orgmaximalprojectionsizeMin,orgminimalprojectionareaMin,orgminimalprojectionradiusMin,orgminimalprojectionsizeMin,orgavgpol_pHdependentMin,orgmolpolMin,orgvanderwaalsMin,orgASAMin,orgASA+Min,orgASA-Min,orgASA_HMin,orgASA_PMin,orgpolarsurfaceareaMin,orghbdamsaccMin,orghbdamsdonMin,orgavgpolArithAvg,orgrefractivityArithAvg,orgmaximalprojectionareaArithAvg,orgmaximalprojectionradiusArithAvg,orgmaximalprojectionsizeArithAvg,orgminimalprojectionareaArithAvg,orgminimalprojectionradiusArithAvg,orgminimalprojectionsizeArithAvg,orgavgpol_pHdependentArithAvg,orgmolpolArithAvg,orgvanderwaalsArithAvg,orgASAArithAvg,orgASA+ArithAvg,orgASA-ArithAvg,orgASA_HArithAvg,orgASA_PArithAvg,orgpolarsurfaceareaArithAvg,orghbdamsaccArithAvg,orghbdamsdonArithAvg,orgavgpolGeomAvg,orgrefractivityGeomAvg,orgmaximalprojectionareaGeomAvg,orgmaximalprojectionradiusGeomAvg,orgmaximalprojectionsizeGeomAvg,orgminimalprojectionareaGeomAvg,orgminimalprojectionradiusGeomAvg,orgminimalprojectionsizeGeomAvg,orgavgpol_pHdependentGeomAvg,orgmolpolGeomAvg,orgvanderwaalsGeomAvg,orgASAGeomAvg,orgASA+GeomAvg,orgASA-GeomAvg,orgASA_HGeomAvg,orgASA_PGeomAvg,orgpolarsurfaceareaGeomAvg,orghbdamsaccGeomAvg,orghbdamsdonGeomAvg,oxlikeavgpolMax,oxlikerefractivityMax,oxlikemaximalprojectionareaMax,oxlikemaximalprojectionradiusMax,oxlikemaximalprojectionsizeMax,oxlikeminimalprojectionareaMax,oxlikeminimalprojectionradiusMax,oxlikeminimalprojectionsizeMax,oxlikeavgpol_pHdependentMax,oxlikemolpolMax,oxlikevanderwaalsMax,oxlikeASAMax,oxlikeASA+Max,oxlikeASA-Max,oxlikeASA_HMax,oxlikeASA_PMax,oxlikepolarsurfaceareaMax,oxlikehbdamsaccMax,oxlikehbdamsdonMax,oxlikeavgpolMin,oxlikerefractivityMin,oxlikemaximalprojectionareaMin,oxlikemaximalprojectionradiusMin,oxlikemaximalprojectionsizeMin,oxlikeminimalprojectionareaMin,oxlikeminimalprojectionradiusMin,oxlikeminimalprojectionsizeMin,oxlikeavgpol_pHdependentMin,oxlikemolpolMin,oxlikevanderwaalsMin,oxlikeASAMin,oxlikeASA+Min,oxlikeASA-Min,oxlikeASA_HMin,oxlikeASA_PMin,oxlikepolarsurfaceareaMin,oxlikehbdamsaccMin,oxlikehbdamsdonMin,oxlikeavgpolArithAvg,oxlikerefractivityArithAvg,oxlikemaximalprojectionareaArithAvg,oxlikemaximalprojectionradiusArithAvg,oxlikemaximalprojectionsizeArithAvg,oxlikeminimalprojectionareaArithAvg,oxlikeminimalprojectionradiusArithAvg,oxlikeminimalprojectionsizeArithAvg,oxlikeavgpol_pHdependentArithAvg,oxlikemolpolArithAvg,oxlikevanderwaalsArithAvg,oxlikeASAArithAvg,oxlikeASA+ArithAvg,oxlikeASA-ArithAvg,oxlikeASA_HArithAvg,oxlikeASA_PArithAvg,oxlikepolarsurfaceareaArithAvg,oxlikehbdamsaccArithAvg,oxlikehbdamsdonArithAvg,oxlikeavgpolGeomAvg,oxlikerefractivityGeomAvg,oxlikemaximalprojectionareaGeomAvg,oxlikemaximalprojectionradiusGeomAvg,oxlikemaximalprojectionsizeGeomAvg,oxlikeminimalprojectionareaGeomAvg,oxlikeminimalprojectionradiusGeomAvg,oxlikeminimalprojectionsizeGeomAvg,oxlikeavgpol_pHdependentGeomAvg,oxlikemolpolGeomAvg,oxlikevanderwaalsGeomAvg,oxlikeASAGeomAvg,oxlikeASA+GeomAvg,oxlikeASA-GeomAvg,oxlikeASA_HGeomAvg,oxlikeASA_PGeomAvg,oxlikepolarsurfaceareaGeomAvg,oxlikehbdamsaccGeomAvg,oxlikehbdamsdonGeomAvg,inorg-water-moleratio,org-water-moleratio,orgacc-waterdonratio,orgdon-wateraccratio,inorg-org-moleratio,notwater-water-moleratio,Na,Li,Te,Br,K,C,F,I,Mo,O,N,P,S,V,Se,Zn,Co,Cl,Ga,Cs,Cr,Cu,Actinide,AlkaliMetal,Lanthanide,P1,P2,P3,P4,P5,P6,P7,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,V0,V1,V2,V3,V4,V5,V6,V7,IonizationMax,EAMax,PaulingElectronegMax,PearsonElectronegMax,hardnessMax,AtomicRadiusMax,IonizationMin,EAMin,PaulingElectronegMin,PearsonElectronegMin,hardnessMin,AtomicRadiusMin,IonizationMean,EAMean,PaulingElectronegMean,PearsonElectronegMean,hardnessMean,AtomicRadiusMean,IonizationGeom,EAGeom,PaulingElectronegGeom,PearsonElectronegGeom,hardnessGeom,AtomicRadiusGeom,IonizationMaxWeighted,EAMaxWeighted,PaulingElectronegMaxWeighted,PearsonElectronegMaxWeighted,hardnessMaxWeighted,AtomicRadiusMaxWeighted,IonizationMinWeighted,EAMinWeighted,PaulingElectronegMinWeighted,PearsonElectronegMinWeighted,hardnessMinWeighted,AtomicRadiusMinWeighted,IonizationMeanWeighted,EAMeanWeighted,PaulingElectronegMeanWeighted,PearsonElectronegMeanWeighted,hardnessMeanWeighted,AtomicRadiusMeanWeighted,IonizationGeomWeighted,EAGeomWeighted,PaulingElectronegGeomWeighted,PearsonElectronegGeomWeighted,hardnessGeomWeighted,AtomicRadiusGeomWeighted,purity,outcome
110.0,24.0,1,1.0,0,2.0,1.0,0.0,3.0,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,10.08,10.54,273.23,273.23,244.65,28.58,213.24,59.99,27.03,1.03,0.97,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,10.08,10.54,273.23,273.23,244.65,28.58,213.24,59.99,27.03,1.03,0.97,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,10.08,10.54,273.23,273.23,244.65,28.58,213.24,59.99,27.03,1.03,0.97,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,10.08,10.54,273.23,273.23,244.65,28.58,213.24,59.99,27.03,1.03,0.97,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0187,0.0031,-0.0032,-0.003,5.9755,0.0218,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,941.0,195.0,2.55,568.0,373.0,171.0,650.9,50.6,1.63,350.7,300.1,103.0,795.95,122.8,2.09,459.35,336.55,137.0,782.6218,99.3328,2.0387,446.3156,334.5703,132.714,4.9874,1.0335,0.0135,3.0105,1.9769,0.5459,0.6828,0.0531,0.0017,0.3679,0.3148,0.1794,2.8351,0.5433,0.0076,1.6892,1.1459,0.3626,1.8454,0.2342,0.0048,1.0524,0.7889,0.3129,1.0,3
100.0,20.0,0,5.0,0,1.0,1.0,0.0,2.0,14.9,37.44,50.08,4.88,5.51,31.64,4.03,9.34,15.48,14.71,318.2,318.2,261.0,57.19,266.63,51.57,32.08,0.0,4.0,14.9,37.44,50.08,4.88,5.51,31.64,4.03,9.34,15.48,14.71,318.2,318.2,261.0,57.19,266.63,51.57,32.08,0.0,4.0,14.9,37.44,50.08,4.88,5.51,31.64,4.03,9.34,15.48,14.71,318.2,318.2,261.0,57.19,266.63,51.57,32.08,0.0,4.0,14.9,37.44,50.08,4.88,5.51,31.64,4.03,9.34,15.48,14.71,318.2,318.2,261.0,57.19,266.63,51.57,32.08,0.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0312,0.0393,-0.0,-0.1572,0.794,0.0705,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,684.3,71.9,2.16,378.1,306.2,190.0,684.3,71.9,2.16,378.1,306.2,190.0,684.3,71.9,2.16,378.1,306.2,190.0,684.3,71.9,2.16,378.1,306.2,190.0,1.304,0.137,0.0041,0.7205,0.5835,0.3621,1.304,0.137,0.0041,0.7205,0.5835,0.3621,1.304,0.137,0.0041,0.7205,0.5835,0.3621,1.304,0.137,0.0041,0.7205,0.5835,0.3621,1.0,4
90.0,24.0,0,1.0,0,2.0,1.0,1.0,4.0,11.87,30.93,41.87,4.38,4.65,22.58,3.38,8.74,12.17,12.3,310.74,310.74,287.07,23.68,265.36,45.39,27.03,0.99,1.01,11.87,30.93,41.87,4.38,4.65,22.58,3.38,8.74,12.17,12.3,310.74,310.74,287.07,23.68,265.36,45.39,27.03,0.99,1.01,11.87,30.93,41.87,4.38,4.65,22.58,3.38,8.74,12.17,12.3,310.74,310.74,287.07,23.68,265.36,45.39,27.03,0.99,1.01,11.87,30.93,41.87,4.38,4.65,22.58,3.38,8.74,12.17,12.3,310.74,310.74,287.07,23.68,265.36,45.39,27.03,0.99,1.01,5.46,36.11,0.0,0.0,0.0,0.0,0.0,0.0,6.23,5.87,211.65,211.65,61.3,150.36,0.0,211.65,74.6,8.04,1.96,5.46,36.11,0.0,0.0,0.0,0.0,0.0,0.0,6.23,5.87,211.65,211.65,61.3,150.36,0.0,211.65,74.6,8.04,1.96,5.46,36.11,0.0,0.0,0.0,0.0,0.0,0.0,6.23,5.87,211.65,211.65,61.3,150.36,0.0,211.65,74.6,8.04,1.96,5.46,36.11,0.0,0.0,0.0,0.0,0.0,0.0,6.23,5.87,211.65,211.65,61.3,150.36,0.0,211.65,74.6,8.04,1.96,0.0276,0.0033,-0.0032,-0.0033,8.4808,0.0309,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,941.0,195.0,2.55,568.0,373.0,171.0,650.9,50.6,1.63,350.7,300.1,103.0,795.95,122.8,2.09,459.35,336.55,137.0,782.6218,99.3328,2.0387,446.3156,334.5703,132.714,7.8267,1.6219,0.0212,4.7243,3.1024,0.8567,0.6555,0.051,0.0016,0.3532,0.3022,0.1722,4.2411,0.8364,0.0114,2.5387,1.7023,0.5145,2.2651,0.2875,0.0059,1.2918,0.9683,0.3841,2.0,1
180.0,48.0,0,5.0,0,1.0,1.0,0.0,2.0,9.88,25.45,33.73,3.6,5.56,23.12,3.57,6.77,10.57,10.29,203.38,203.38,203.38,0.0,161.57,41.81,33.22,0.06,3.94,9.88,25.45,33.73,3.6,5.56,23.12,3.57,6.77,10.57,10.29,203.38,203.38,203.38,0.0,161.57,41.81,33.22,0.06,3.94,9.88,25.45,33.73,3.6,5.56,23.12,3.57,6.77,10.57,10.29,203.38,203.38,203.38,0.0,161.57,41.81,33.22,0.06,3.94,9.88,25.45,33.73,3.6,5.56,23.12,3.57,6.77,10.57,10.29,203.38,203.38,203.38,0.0,161.57,41.81,33.22,0.06,3.94,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0569,0.0781,-0.0047,-0.3076,0.7288,0.135,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,684.3,71.9,2.16,378.1,306.2,190.0,684.3,71.9,2.16,378.1,306.2,190.0,684.3,71.9,2.16,378.1,306.2,190.0,684.3,71.9,2.16,378.1,306.2,190.0,1.0839,0.1139,0.0034,0.5989,0.485,0.301,1.0839,0.1139,0.0034,0.5989,0.485,0.301,1.0839,0.1139,0.0034,0.5989,0.485,0.301,1.0839,0.1139,0.0034,0.5989,0.485,0.301,1.0,3
180.0,48.0,0,5.0,0,1.0,1.0,0.0,2.0,15.18,36.58,50.18,6.31,6.57,20.41,2.94,12.27,15.86,14.71,333.62,333.62,258.26,75.36,237.23,96.39,55.28,0.0,6.0,15.18,36.58,50.18,6.31,6.57,20.41,2.94,12.27,15.86,14.71,333.62,333.62,258.26,75.36,237.23,96.39,55.28,0.0,6.0,15.18,36.58,50.18,6.31,6.57,20.41,2.94,12.27,15.86,14.71,333.62,333.62,258.26,75.36,237.23,96.39,55.28,0.0,6.0,15.18,36.58,50.18,6.31,6.57,20.41,2.94,12.27,15.86,14.71,333.62,333.62,258.26,75.36,237.23,96.39,55.28,0.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0164,0.0232,-0.0,-0.1391,0.7052,0.0395,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,684.3,71.9,2.16,378.1,306.2,190.0,684.3,71.9,2.16,378.1,306.2,190.0,684.3,71.9,2.16,378.1,306.2,190.0,684.3,71.9,2.16,378.1,306.2,190.0,1.3525,0.1421,0.0043,0.7473,0.6052,0.3755,1.3525,0.1421,0.0043,0.7473,0.6052,0.3755,1.3525,0.1421,0.0043,0.7473,0.6052,0.3755,1.3525,0.1421,0.0043,0.7473,0.6052,0.3755,1.0,4
110.0,24.0,1,1.0,0,2.0,1.0,0.0,3.0,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,10.08,10.54,273.23,273.23,244.65,28.58,213.24,59.99,27.03,1.03,0.97,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,10.08,10.54,273.23,273.23,244.65,28.58,213.24,59.99,27.03,1.03,0.97,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,10.08,10.54,273.23,273.23,244.65,28.58,213.24,59.99,27.03,1.03,0.97,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,10.08,10.54,273.23,273.23,244.65,28.58,213.24,59.99,27.03,1.03,0.97,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0445,0.0042,-0.0043,-0.0041,10.5821,0.0487,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,941.0,195.0,2.55,568.0,373.0,171.0,650.9,50.6,1.63,350.7,300.1,103.0,795.95,122.8,2.09,459.35,336.55,137.0,782.6218,99.3328,2.0387,446.3156,334.5703,132.714,13.2508,2.7459,0.0359,7.9984,5.2525,1.4504,0.6485,0.0504,0.0016,0.3494,0.299,0.1704,6.9497,1.3982,0.0188,4.1739,2.7757,0.8104,2.9314,0.3721,0.0076,1.6717,1.2532,0.4971,2.0,4
180.0,48.0,0,5.0,0,1.0,1.0,0.0,2.0,17.26,41.18,55.03,6.89,5.91,21.58,3.07,13.78,17.95,16.56,365.55,365.55,282.95,82.6,269.21,96.34,55.28,0.0,6.0,17.26,41.18,55.03,6.89,5.91,21.58,3.07,13.78,17.95,16.56,365.55,365.55,282.95,82.6,269.21,96.34,55.28,0.0,6.0,17.26,41.18,55.03,6.89,5.91,21.58,3.07,13.78,17.95,16.56,365.55,365.55,282.95,82.6,269.21,96.34,55.28,0.0,6.0,17.26,41.18,55.03,6.89,5.91,21.58,3.07,13.78,17.95,16.56,365.55,365.55,282.95,82.6,269.21,96.34,55.28,0.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0213,0.1249,-0.0,-0.7497,0.1708,0.1463,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,684.3,71.9,2.16,378.1,306.2,190.0,684.3,71.9,2.16,378.1,306.2,190.0,684.3,71.9,2.16,378.1,306.2,190.0,684.3,71.9,2.16,378.1,306.2,190.0,0.4022,0.0423,0.0013,0.2222,0.18,0.1117,0.4022,0.0423,0.0013,0.2222,0.18,0.1117,0.4022,0.0423,0.0013,0.2222,0.18,0.1117,0.4022,0.0423,0.0013,0.2222,0.18,0.1117,1.0,3
110.0,24.0,1,7.0,0,2.0,1.0,0.0,3.0,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,9.73,10.3,281.27,281.27,216.3,64.97,247.34,33.93,25.78,2.0,0.0,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,9.73,10.3,281.27,281.27,216.3,64.97,247.34,33.93,25.78,2.0,0.0,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,9.73,10.3,281.27,281.27,216.3,64.97,247.34,33.93,25.78,2.0,0.0,9.73,26.34,36.07,4.05,5.18,20.35,3.12,7.98,9.73,10.3,281.27,281.27,216.3,64.97,247.34,33.93,25.78,2.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0269,0.0043,-0.0086,-0.0,6.2922,0.0312,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,941.0,195.0,2.55,568.0,373.0,171.0,650.9,50.6,1.63,350.7,300.1,103.0,795.95,122.8,2.09,459.35,336.55,137.0,782.6218,99.3328,2.0387,446.3156,334.5703,132.714,5.6548,1.1718,0.0153,3.4133,2.2415,0.619,1.9546,0.152,0.0049,1.0531,0.9012,0.5135,3.8047,0.6619,0.0101,2.2332,1.5713,0.5662,3.3246,0.422,0.0087,1.896,1.4213,0.5638,2.0,2
90.0,24.0,0,1.0,0,2.0,1.0,1.0,4.0,9.88,25.45,33.73,3.6,5.56,23.12,3.57,6.77,10.57,10.29,203.38,203.38,203.38,0.0,161.57,41.81,33.22,0.0,4.0,9.88,25.45,33.73,3.6,5.56,23.12,3.57,6.77,10.57,10.29,203.38,203.38,203.38,0.0,161.57,41.81,33.22,0.0,4.0,9.88,25.45,33.73,3.6,5.56,23.12,3.57,6.77,10.57,10.29,203.38,203.38,203.38,0.0,161.57,41.81,33.22,0.0,4.0,9.88,25.45,33.73,3.6,5.56,23.12,3.57,6.77,10.57,10.29,203.38,203.38,203.38,0.0,161.57,41.81,33.22,0.0,4.0,5.46,36.11,0.0,0.0,0.0,0.0,0.0,0.0,6.23,5.87,211.65,211.65,61.3,150.36,0.0,211.65,74.6,8.04,1.96,5.46,36.11,0.0,0.0,0.0,0.0,0.0,0.0,6.23,5.87,211.65,211.65,61.3,150.36,0.0,211.65,74.6,8.04,1.96,5.46,36.11,0.0,0.0,0.0,0.0,0.0,0.0,6.23,5.87,211.65,211.65,61.3,150.36,0.0,211.65,74.6,8.04,1.96,5.46,36.11,0.0,0.0,0.0,0.0,0.0,0.0,6.23,5.87,211.65,211.65,61.3,150.36,0.0,211.65,74.6,8.04,1.96,0.0251,0.0029,-0.0,-0.0117,8.6244,0.0281,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,941.0,195.0,2.55,568.0,373.0,171.0,650.9,50.6,1.63,350.7,300.1,103.0,795.95,122.8,2.09,459.35,336.55,137.0,782.6218,99.3328,2.0387,446.3156,334.5703,132.714,5.6277,1.1662,0.0153,3.3969,2.2307,0.616,1.6469,0.128,0.0041,0.8873,0.7593,0.4327,3.6373,0.6471,0.0097,2.1421,1.495,0.5243,3.0444,0.3864,0.0079,1.7361,1.3015,0.5162,1.0,4
90.0,24.0,0,8.0,0,2.0,1.0,0.0,3.0,11.75,30.31,38.15,3.76,5.69,26.86,3.62,7.43,12.03,12.2,224.64,224.64,205.02,19.62,198.66,25.98,28.64,0.3,3.7,11.75,30.31,38.15,3.76,5.69,26.86,3.62,7.43,12.03,12.2,224.64,224.64,205.02,19.62,198.66,25.98,28.64,0.3,3.7,11.75,30.31,38.15,3.76,5.69,26.86,3.62,7.43,12.03,12.2,224.64,224.64,205.02,19.62,198.66,25.98,28.64,0.3,3.7,11.75,30.31,38.15,3.76,5.69,26.86,3.62,7.43,12.03,12.2,224.64,224.64,205.02,19.62,198.66,25.98,28.64,0.3,3.7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0037,0.0029,-0.0009,-0.0109,1.2526,0.0066,1,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,869.3,190.2,2.1,529.8,339.6,171.0,650.9,50.6,1.63,350.7,300.1,123.0,760.1,120.4,1.865,440.25,319.85,147.0,752.215,98.1026,1.8501,431.0462,319.2397,145.0276,0.8024,0.1152,0.002,0.4323,0.3699,0.2108,0.5264,0.0624,0.0013,0.3208,0.2057,0.0745,0.6644,0.0888,0.0016,0.3766,0.2878,0.1426,0.6499,0.0848,0.0016,0.3724,0.2758,0.1253,2.0,4
