ref,outcome,k=15,k=14,k=13,k=12,k=11,k=10,k=9,k=8,k=7,k=6,k=5,k=4,k=3,k=2,k=1
AM17.1,2,104.1435983751,101.76743784,99.0357102611,95.850466992,92.0930413284,88.051564322,83.1161761259,77.264966652,70.3579162906,62.3859096541,51.8864788385,41.3189581968,32.0239730182,28.9619055857,28.6561411863
AM17.2,2,76.3086441893,76.199342022,76.07405523,75.9279141534,75.7556366211,75.5536838023,75.3156115715,75.0197707855,74.798439454,74.5126160389,74.1314095083,73.5946268083,72.7418348703,71.0551780858,66.8222860029
AM17.3,2,82.7837233016,82.5444013381,82.268260611,81.950701511,81.5783004358,81.1389344875,80.6023121774,79.9379539963,79.0847029497,77.9471549572,76.3608163019,73.9874951331,70.0383207795,62.1403326816,38.4463683878
AM17.4,2,57.9346894193,57.8095603175,57.6660757225,57.4990850364,57.3021920242,57.0716410015,56.7905059515,56.4416571242,55.9981372653,55.4096668278,54.6784260135,53.6023466206,51.8562746693,48.4107252578,38.1598700411
AM17.5,2,119.3913841817,115.1761963838,110.3128858051,104.6390974402,98.822159283,95.3713232308,92.3094005777,88.9096178683,84.5464274516,81.2394510942,77.1601646594,71.0779888919,62.4047100715,54.4388996668,38.2303563699
AM17.6,2,65.5992805257,64.8418699513,63.9682830324,62.9510411172,61.7519277593,60.3142783333,58.5975430167,56.4599278136,53.7277195845,50.0932750354,45.0195845045,38.2632718972,31.2249637409,27.8942218268,27.5749243644
AM17.7,2,82.7736254309,82.5342287768,82.2580018683,81.940071582,81.5675279104,81.1279855996,80.5907925313,79.9260939657,79.0724951881,77.9345802041,76.3475319963,73.9739288909,70.0233772538,62.1222739795,38.4202654766
AM17.8,3,127.757927086,125.3978749415,122.6748060595,119.4982745705,115.7443017924,111.2399776266,108.1043332178,104.4241928837,100.6093606908,95.5311336784,90.2145331142,85.9766206331,79.8105772784,67.5538216399,37.9908432143
AM17.9,3,164.2202993881,161.786677185,159.0115814784,155.8079127301,152.0224827478,147.4799667691,141.971244677,135.0867430806,126.252830389,114.4751971029,97.9869982243,73.2548394566,32.0354924531,29.1507049912,29.1187546751
AM17.10,2,72.9165001812,72.4722444502,72.0159798605,71.4840073335,70.8560097104,70.102577442,69.1856369892,68.040562583,66.5737392787,64.6295486137,61.9130120108,57.8397925072,51.088075471,43.3240511334,37.4434840912
AM17.11,2,55.0388607716,54.7863584259,54.4999133841,54.1659536042,53.7716404913,53.2989955973,52.7272014322,52.0256477758,51.1263448357,50.1895766892,48.9036477805,47.0220397055,43.9709406093,38.4134978381,37.4116513574
AM17.12,3,44.0666382304,43.3351395317,42.4915790261,41.5091341965,40.348740561,38.9571928528,37.262701746,35.1457577107,32.4338911717,28.8348577697,25.8819366545,25.0871476484,24.9227882293,24.8626767285,24.8604223369
mw17.1,2,47.8896658418,47.6588328994,47.461151066,47.2539069958,47.0321822141,46.783024055,46.4998768355,46.1513375712,45.7284775264,45.1717417517,44.3969169633,43.2873214557,41.4480281822,39.3790164109,38.0292279751
mw17.2,2,47.2981852009,47.2261810062,47.1434455107,47.0470964439,46.934677642,46.8007505238,46.6379664006,46.4410178775,46.1896919333,45.8593210552,45.3972060063,44.7059871988,43.5715996048,41.3167203647,34.61176729
mw17.3,2,48.1233040485,47.9850125884,47.8257000209,47.6405636205,47.4278624914,47.1733574889,46.865250856,46.4838802922,45.9979823879,45.4392995274,44.6681319641,43.5434609219,41.7209023387,38.1262088253,38.0724186864
mw17.5,2,180.6127537705,179.6602344509,178.5945604798,177.3845891807,175.9546231,174.239017986,172.1839350873,169.6163360279,166.3300449986,161.9493875547,155.8169855955,146.6204367694,131.2936905011,130.5553979337,130.5450988873
mw17.7,2,21.5143188502,20.8515299935,20.0886431068,19.2068776849,18.1699927166,16.9867054457,15.5464175772,14.4033995389,13.3735279161,12.0410566495,10.1777727853,7.3849789211,7.3596982501,7.3113684508,7.1707964335
mw17.8,2,66.5658245938,66.1888027828,65.7542704703,65.2477161909,64.6491628468,63.9311504436,63.0741833815,62.0109047357,60.6446759746,59.1577777913,57.2045361415,56.019088168,54.442883886,53.1617534482,49.9287833022
mw17.9,2,88.356531944,86.7044033712,85.1706674432,83.7421892143,82.0583750047,80.8170945947,79.4405391836,77.9653384076,76.0958850778,73.713724702,70.3884444255,65.8416631565,59.4487825321,46.7836555116,37.2748569471
mw17.10,2,48.1822718761,48.0429303814,47.8825951586,47.6967893771,47.4820308869,47.2249939271,46.9159195061,46.5347232111,46.0475385863,45.4880318931,44.725927852,43.6241948971,41.8200730472,38.2624845951,38.2045344783
mw17.11,2,77.2531379524,76.4225488105,75.4701163048,74.6737007602,73.7578707926,72.8052973922,71.6453924955,70.1974269108,68.3463574054,65.9357228768,62.5644944927,57.5077374996,49.0887182931,40.5312898111,38.3617779615
mw17.4,2,120.9839382168,118.6314171798,116.150794217,113.3118993465,110.223069968,106.6963953957,102.4149274538,97.072918511,91.5515524245,85.4296764284,78.1181538077,69.6060614059,64.6502501688,57.6362942421,37.1220596802
