found 3142 values for descriptor 1, 3103 for descriptor 2
V3_legacy Inorg_boolean_valence_3_DRP_1.5_any
57.11 False DoesNotExist
57.12 False DoesNotExist
57.14 False DoesNotExist
57.15 False DoesNotExist
57.16 False DoesNotExist
57.17 False DoesNotExist
57.18 False DoesNotExist
57.19 False DoesNotExist
57.21 False DoesNotExist
57.22 False DoesNotExist
57.23 False DoesNotExist
57.24 False DoesNotExist
57.25 False DoesNotExist
57.7 False DoesNotExist
57.8 False DoesNotExist
57.9 False DoesNotExist
2tv21.3 False True
2tv23.3 False True
2tv23.4 False True
2tv23.5 False True
2tv27.3 False True
2tv27.4 False True
2tv27.5 False True
2tv45.1 False True
2tv49.1 False True
2tv49.2 False True
2tv49.3 False True
2tv73.1 False True
2tv73.3 False True
jho120.12 False True
jho120.15 False True
jho120.18 False True
jho120.21 False True
jho120.3 False True
jho120.6 False True
jho120.9 False True
jho126.1 False True
jho126.10 False True
jho126.11 False True
jho126.12 False True
jho126.13 False True
jho126.14 False True
jho126.15 False True
jho126.16 False True
jho126.17 False True
jho126.18 False True
jho126.19 False True
jho126.2 False True
jho126.20 False True
jho126.21 False True
jho126.3 False True
jho126.4 False True
jho126.5 False True
jho126.6 False True
jho126.7 False True
jho126.8 False True
jho126.9 False True
jho132.1 False True
jho132.2 False True
jho132.3 False True
jho132.4 False True
jho132.5 False True
jho132.6 False True
jho132.7 False True
jho133.1 False True
jho133.2 False True
jho133.3 False True
jho133.4 False True
jho133.5 False True
jho133.6 False True
jho133.7 False True
jho139.1 False True
jho139.10 False True
jho139.2 False True
jho139.3 False True
jho139.4 False True
jho139.5 False True
jho139.6 False True
jho139.7 False True
jho139.8 False True
jho139.9 False True
jho143.1 False True
jho143.10 False True
jho143.11 False True
jho143.12 False True
jho143.13 False True
jho143.14 False True
jho143.15 False True
jho143.2 False True
jho143.3 False True
jho143.4 False True
jho143.5 False True
jho143.6 False True
jho143.7 False True
jho143.8 False True
jho143.9 False True
jho148.1 False True
jho148.2 False True
jho148.3 False True
jho148.4 False True
jho149.1 False True
jho149.10 False True
jho149.11 False True
jho149.2 False True
jho149.3 False True
jho149.4 False True
jho149.5 False True
jho149.6 False True
jho149.7 False True
jho149.8 False True
jho149.9 False True
jho152.7 False True
jho152.8 False True
jho152.9 False True
jho154.1 False True
jho154.2 False True
jho154.3 False True
jho154.4 False True
jho154.5 False True
jho154.6 False True
jho155.1 False True
jho155.2 False True
jho155.3 False True
jho155.4 False True
jho155.5 False True
jho155.6 False True
jho155.7 False True
jho210.2 False True
jho210.3 False True
jho210.4 False True
jho212.1 False True
jho212.2 False True
jho212.3 False True
jho212.4 False True
jho213.1 False True
jho213.10 False True
jho213.11 False True
jho213.12 False True
jho213.13 False True
jho213.14 False True
jho213.15 False True
jho213.16 False True
jho213.17 False True
jho213.18 False True
jho213.19 False True
jho213.2 False True
jho213.20 False True
jho213.3 False True
jho213.4 False True
jho213.5 False True
jho213.6 False True
jho213.7 False True
jho213.8 False True
jho213.9 False True
jho218.1 False True
jho218.10 False True
jho218.11 False True
jho218.12 False True
jho218.2 False True
jho218.3 False True
jho218.4 False True
jho218.5 False True
jho218.6 False True
jho218.7 False True
jho218.8 False True
jho218.9 False True
jho220.1 False True
jho220.10 False True
jho220.11 False True
jho220.12 False True
jho220.2 False True
jho220.3 False True
jho220.4 False True
jho220.5 False True
jho220.6 False True
jho220.7 False True
jho220.8 False True
jho220.9 False True
jho225.1 False True
jho225.2 False True
jho225.3 False True
jho225.4 False True
jho225.5 False True
jho228.1 False True
jho228.10 False True
jho228.2 False True
jho228.3 False True
jho228.4 False True
jho228.5 False True
jho228.6 False True
jho228.7 False True
jho228.8 False True
jho228.9 False True
jho259.1 False True
jho259.10 False True
jho259.11 False True
jho259.12 False True
jho259.13 False True
jho259.15 False True
jho259.16 False True
jho259.17 False True
jho259.18 False True
jho259.19 False True
jho259.2 False True
jho259.20 False True
jho259.21 False True
jho259.3 False True
jho259.4 False True
jho259.6 False True
jho259.7 False True
jho259.8 False True
jho259.9 False True
jho270.1 False True
jho270.2 False True
jho270.3 False True
jho270.4 False True
jho272.1 False True
jho272.2 False True
jho272.3 False True
jho272.4 False True
jho272.5 False True
jho272.6 False True
jho272.7 False True
jho272.8 False True
jho274.1 False True
jho274.2 False True
jho274.3 False True
jho274.4 False True
jho274.5 False True
jho274.6 False True
jho274.7 False True
jho274.8 False True
jk222.1 False True
jk222.10 False True
jk222.11 False True
jk222.12 False True
jk222.13 False True
jk222.14 False True
jk222.15 False True
jk222.16 False True
jk222.17 False True
jk222.18 False True
jk222.19 False True
jk222.2 False True
jk222.20 False True
jk222.21 False True
jk222.22 False True
jk222.23 False True
jk222.24 False True
jk222.25 False True
jk222.26 False True
jk222.27 False True
jk222.28 False True
jk222.29 False True
jk222.3 False True
jk222.30 False True
jk222.4 False True
jk222.5 False True
jk222.6 False True
jk222.7 False True
jk222.8 False True
jk222.9 False True
jk260.10 False True
jk260.11 False True
jk260.12 False True
jk260.9 False True
jk272.1 False True
jk272.2 False True
jk272.3 False True
jk272.4 False True
jk272.5 False True
jk296.10 False True
jk296.11 False True
jk296.12 False True
jk296.7 False True
jk296.8 False True
jk296.9 False True
kc96.10 False True
ke10.1 False DoesNotExist
ke10.2 False DoesNotExist
ke10.3 False DoesNotExist
ke10.4 False DoesNotExist
ke10.5 False DoesNotExist
ke10.6 False DoesNotExist
ke12.1 False DoesNotExist
ke12.2 False DoesNotExist
ke12.3 False DoesNotExist
ke12.4 False DoesNotExist
ke12.5 False DoesNotExist
ke12.6 False DoesNotExist
ke12.7 False DoesNotExist
ke12.8 False DoesNotExist
ke12.9 False DoesNotExist
mds50.4 False True
mds50.5 False True
mds50.6 False True
mds53.10 False True
mds53.2 False True
mds53.3 False True
mds53.4 False True
mds53.5 False True
mds53.6 False True
mds53.7 False True
mds53.8 False True
mds53.9 False True
mds57.1 False True
mds57.2 False True
mds57.3 False True
mds57.4 False True
mds57.5 False True
mds57.6 False True
mds57.7 False True
mds57.8 False True
mds57.9 False True
mds59.1 False True
mds59.10 False True
mds59.2 False True
mds59.3 False True
mds59.4 False True
mds59.5 False True
mds59.6 False True
mds59.7 False True
mds59.8 False True
mds59.9 False True
mds63.1 False True
mds63.10 False True
mds63.2 False True
mds63.3 False True
mds63.4 False True
mds63.5 False True
mds63.6 False True
mds63.7 False True
mds63.8 False True
mds63.9 False True
mds67.1 False True
mds67.2 False True
mds67.3 False True
mds71.1 False True
mds71.10 False True
mds71.11 False True
mds71.12 False True
mds71.13 False True
mds71.14 False True
mds71.15 False True
mds71.16 False True
mds71.2 False True
mds71.4 False True
mds71.5 False True
mds71.6 False True
mds71.7 False True
mds71.8 False True
mds71.9 False True
yh82.1 False DoesNotExist
yh82.10 False True
yh82.11 False DoesNotExist
yh82.12 False DoesNotExist
yh82.17 False DoesNotExist
yh82.19 False DoesNotExist
yh82.2 False DoesNotExist
yh82.26 False True
yh82.3 False DoesNotExist
yh82.4 False True
yh82.6 False True
yh82.7 False DoesNotExist
yh82.8 False True
326
