Base Features,ChemAxon,Feature Selection,BCR Weighted,Model,TP,FP,FN,TN,Accuracy,BCR,Matthews
new + legacy,Legacy,Postive Info,True,J48,0.5603143628036074,0.14159804369256607,0.17173808836021118,0.12634950514361548,0.6866638679472228,0.6184738001895665,0.22942191410637242
new + legacy,Legacy,Postive Info,False,J48,0.6167413709983034,0.11103407204299391,0.11531108016551515,0.1569134767931876,0.773654847791491,0.7140475743669535,0.42596503482437637
new + legacy,Legacy,Postive Info,True,KNN,0.5978211937732091,0.11500050270922171,0.1342312573906092,0.1529470461269598,0.7507682399001689,0.6937233762278756,0.379264113428086
new + legacy,Legacy,Postive Info,False,KNN,0.5978211937732091,0.11500050270922171,0.1342312573906092,0.1529470461269598,0.7507682399001689,0.6937233762278756,0.379264113428086
new + legacy,Legacy,Postive Info,True,LogisticRegression,0.5402067480697755,0.16645499555183854,0.191845703094043,0.10149255328434297,0.6416993013541185,0.558356086607964,0.11353297187527647
new + legacy,Legacy,Postive Info,False,LogisticRegression,0.6178095957659564,0.12277493702933642,0.11424285539786218,0.14517261180684507,0.7629822075728014,0.6928682970980352,0.3897638741367681
new + legacy,Legacy,Postive Info,True,NaiveBayes,0.3235005486633937,0.17028343880321994,0.4085519025004248,0.09766411003296153,0.4211646586963553,0.40319931596645886,-0.17150152067524754
new + legacy,Legacy,Postive Info,False,NaiveBayes,0.3484500311334207,0.1629784293043817,0.3836024200303978,0.10496911953179983,0.45341915066522054,0.43387150805386016,-0.11718123739967164
new + legacy,Legacy,Postive Info,True,RandomForest,0.651829665589863,0.08372341878803644,0.08022278557395567,0.18422413004814508,0.8360537956380081,0.7889759568249055,0.5803786613011477
new + legacy,Legacy,Postive Info,False,RandomForest,0.6896116851692589,0.06178963183023971,0.042440765994559745,0.2061579170059418,0.8957696021752006,0.8557107528860344,0.7290168988912369
new + legacy,Legacy,Postive Info,True,SVM_PUK,0.6568595576761029,0.09207148938845773,0.07519289348771568,0.17587605944772378,0.8327356171238267,0.7768336219287295,0.5654932186269155
new + legacy,Legacy,Postive Info,False,SVM_PUK,0.7060972820391529,0.05143233480558011,0.02595516912466546,0.21651521403060145,0.9226124960697544,0.8862976975805085,0.7983971009142694
legacy,False,CFS,True,J48,0.5613358067517678,0.18019821494009344,0.16432846730647904,0.09413751100165986,0.6554733177534277,0.5583473190050782,0.11893035716340132
legacy,False,CFS,False,J48,0.630291771469523,0.12915098185804147,0.09537250258872366,0.14518474408371182,0.7754765155532348,0.698897512050348,0.41525192871553357
legacy,False,CFS,True,KNN,0.6095636588932476,0.13979922159296507,0.11610061516499898,0.1345365043487882,0.7441001632420358,0.6652080328220702,0.3401742431987446
legacy,False,CFS,False,KNN,0.6106891574384202,0.1368455935220355,0.11497511661982644,0.1374901324197178,0.7481792898581381,0.6713667644651188,0.3520052581474462
legacy,False,CFS,True,LogisticRegression,0.45022457706416713,0.15178305387405064,0.27543969699407966,0.12255267206770269,0.5727772491318698,0.5335780582944608,0.06121477519849753
legacy,False,CFS,False,LogisticRegression,0.6876884399941573,0.046559220629605005,0.037975834064089435,0.22777650531214827,0.9154649453063055,0.888975637442423,0.78578117154201
legacy,False,CFS,True,NaiveBayes,0.3299256297267526,0.15469077200177056,0.3957386443314942,0.11964495393998277,0.44957058366673536,0.44538965156357746,-0.09751011025624585
legacy,False,CFS,False,NaiveBayes,0.6881797438691872,0.04543250577269904,0.03748453018905932,0.22890322016905426,0.9170829640382415,0.8913676903974272,0.7900118541927228
legacy,False,CFS,True,RandomForest,0.5815515371895146,0.15266594231065542,0.14411273686873233,0.12166978363109789,0.7032213208206125,0.6224563287863225,0.24736868398785383
legacy,False,CFS,False,RandomForest,0.6199779756823565,0.12239017047829757,0.10568629837589022,0.15194555546345573,0.7719235311458121,0.7041132096497129,0.41648629913398144
legacy,False,CFS,True,SVM_PUK,0.46804732803111604,0.17218642529243375,0.25761694602713076,0.10214930064931951,0.5701966286804355,0.5086714936029708,0.016123282671765868
legacy,False,CFS,False,SVM_PUK,0.67250837554379,0.0657332429303646,0.05315589851445678,0.20860248301138867,0.8811108585551786,0.8435699379028563,0.6974364587153493
new,True,Postive Variance,True,J48,0.5837995362971068,0.13517554803030876,0.14480001384049507,0.1362249018320894,0.7200244381291963,0.6515978871656343,0.29994632267669274
new,True,Postive Variance,False,J48,0.6258324575057955,0.11574512177161969,0.1027670926318062,0.1556553280907785,0.7814877855965741,0.7162394954082778,0.4393102691294614
new,True,Postive Variance,True,KNN,0.6123116594643065,0.09702607892990081,0.11628789067329533,0.17437437093249739,0.786686030396804,0.7414468947892219,0.4729121737903376
new,True,Postive Variance,False,KNN,0.6123116594643065,0.09702607892990081,0.11628789067329533,0.17437437093249739,0.786686030396804,0.7414468947892219,0.4729121737903376
new,True,Postive Variance,True,LogisticRegression,0.4877823052361069,0.1420614477748955,0.2408172449014949,0.1293390020875027,0.6171213073236096,0.5730203857968206,0.13449771158637655
new,True,Postive Variance,False,LogisticRegression,0.5835128878263833,0.10083678998309863,0.1450866623112185,0.17056365987929956,0.7540765477056829,0.7146633364736422,0.41076690886820416
new,True,Postive Variance,True,NaiveBayes,0.5096576528905804,0.11263263210208453,0.21894189724702134,0.15876781776031368,0.6684254706508941,0.642248893243202,0.2609474363599251
new,True,Postive Variance,False,NaiveBayes,0.5116216398619385,0.11157494943602025,0.21697791027566324,0.15982550042637791,0.6714471402883164,0.6455452401056812,0.2671208493849493
new,True,Postive Variance,True,RandomForest,0.5672599228335358,0.10579922568385951,0.161339627304066,0.1656012241785387,0.7328611470120745,0.6943674952831524,0.36850395578463013
new,True,Postive Variance,False,RandomForest,0.6485668271361938,0.06877009773928226,0.08003272300140783,0.20263035212311598,0.8511971792593098,0.8183828168427376,0.6288299445152764
new,True,Postive Variance,True,SVM_PUK,0.7062915708987992,0.024065223964177353,0.022307979238802445,0.24733522589822082,0.95362679679702,0.9403559242628002,0.8825133680025278
new,True,Postive Variance,False,SVM_PUK,0.7179030021398328,0.009911231245479206,0.010696547997768964,0.26148921861691904,0.9793922207567518,0.9744000920726912,0.9479414494670755
legacy,False,Postive Variance,True,J48,0.568408438138025,0.15452739403131946,0.16181520043166142,0.11524896739899419,0.6836574055370191,0.6028025519241949,0.20390305115298632
