Base Features,ChemAxon,Feature Selection,BCR Weighted,Model,TP,FP,FN,TN,Accuracy,BCR,Matthews
new + legacy,Legacy,Postive Info,True,J48,0.5603143628036074,0.12634950514361548,0.17173808836021118,0.14159804369256607,0.7019124064961735,0.6469281350308106,0.2805780023393809
new + legacy,Legacy,Postive Info,False,J48,0.6167413709983034,0.1569134767931876,0.11531108016551515,0.11103407204299391,0.7277754430412973,0.6284349144462547,0.2718628503587791
new + legacy,Legacy,Postive Info,True,KNN,0.5978211937732091,0.1529470461269598,0.1342312573906092,0.11500050270922171,0.7128216964824308,0.6229137278796126,0.25169335037117585
new + legacy,Legacy,Postive Info,False,KNN,0.5978211937732091,0.1529470461269598,0.1342312573906092,0.11500050270922171,0.7128216964824308,0.6229137278796126,0.25169335037117585
new + legacy,Legacy,Postive Info,True,LogisticRegression,0.5402067480697755,0.10149255328434297,0.191845703094043,0.16645499555183854,0.706661743621614,0.6795783977462018,0.33173437099180847
new + legacy,Legacy,Postive Info,False,LogisticRegression,0.6178095957659564,0.14517261180684507,0.11424285539786218,0.12277493702933642,0.7405845327952928,0.6510734106085114,0.314677972793274
new + legacy,Legacy,Postive Info,True,NaiveBayes,0.3235005486633937,0.09766411003296153,0.4085519025004248,0.17028343880321994,0.49378398746661367,0.5387096594752487,0.06944514037922303
new + legacy,Legacy,Postive Info,False,NaiveBayes,0.3484500311334207,0.10496911953179983,0.3836024200303978,0.1629784293043817,0.5114284604378024,0.5421190177335395,0.07494231227584078
new + legacy,Legacy,Postive Info,True,RandomForest,0.651829665589863,0.18422413004814508,0.08022278557395567,0.08372341878803644,0.7355530843778995,0.6014379261606411,0.24269373004409106
new + legacy,Legacy,Postive Info,False,RandomForest,0.6896116851692589,0.2061579170059418,0.042440765994559745,0.06178963183023971,0.7514013169994985,0.5863142127744353,0.2502147718408036
new + legacy,Legacy,Postive Info,True,SVM_PUK,0.6568595576761029,0.17587605944772378,0.07519289348771568,0.09207148938845773,0.7489310470645607,0.6204512059983216,0.2858787244635715
new + legacy,Legacy,Postive Info,False,SVM_PUK,0.7060972820391529,0.21651521403060145,0.02595516912466546,0.05143233480558011,0.757529616844733,0.5782469616397402,0.25938710760801686
legacy,False,CFS,True,J48,0.5613358067517678,0.09413751100165986,0.16432846730647904,0.18019821494009344,0.7415340216918612,0.7152002109188093,0.40410367852818824
legacy,False,CFS,False,J48,0.630291771469523,0.14518474408371182,0.09537250258872366,0.12915098185804147,0.7594427533275645,0.6696746279898982,0.36286137736734464
legacy,False,CFS,True,KNN,0.6095636588932476,0.1345365043487882,0.11610061516499898,0.13979922159296507,0.7493628804862127,0.6747997788954458,0.3574614606114792
legacy,False,CFS,False,KNN,0.6106891574384202,0.1374901324197178,0.11497511661982644,0.1368455935220355,0.7475347509604557,0.6701920379589926,0.34988854660138063
legacy,False,CFS,True,LogisticRegression,0.45022457706416713,0.12255267206770269,0.27543969699407966,0.15178305387405064,0.6020076309382177,0.5868528946396077,0.15667629118845475
