Base Features,ChemAxon,Feature Selection,BCR Weighted,Model,TP,FP,FN,TN,Accuracy,BCR,Matthews
new + legacy,Legacy,Postive Info,True,J48,0.6174388674388673,0.06383526383526382,0.11994851994851996,0.1987773487773488,0.8162162162162161,0.7971277117898297,0.5611890528821509
new + legacy,Legacy,Postive Info,False,J48,0.6676962676962677,0.08925353925353925,0.06969111969111967,0.17335907335907336,0.841055341055341,0.7828107278436345,0.5802965536836354
new + legacy,Legacy,Postive Info,True,KNN,0.6514157014157014,0.08352638352638352,0.08597168597168596,0.17908622908622907,0.8305019305019304,0.7826755602830107,0.5636726367154206
new + legacy,Legacy,Postive Info,False,KNN,0.6514157014157014,0.08352638352638352,0.08597168597168596,0.17908622908622907,0.8305019305019304,0.7826755602830107,0.5636726367154206
new + legacy,Legacy,Postive Info,True,LogisticRegression,0.5693050193050193,0.07033462033462033,0.1680823680823681,0.19227799227799222,0.7615830115830116,0.7521151926990957,0.46216650206761717
new + legacy,Legacy,Postive Info,False,LogisticRegression,0.6651222651222651,0.1247104247104247,0.07226512226512226,0.1379021879021879,0.803024453024453,0.7135574111116116,0.4613177344182893
new + legacy,Legacy,Postive Info,True,NaiveBayes,0.3868725868725869,0.09498069498069499,0.3505148005148005,0.16763191763191762,0.5545045045045045,0.5814885256512254,0.14353185976093816
new + legacy,Legacy,Postive Info,False,NaiveBayes,0.4001287001287002,0.09858429858429858,0.33725868725868724,0.16402831402831403,0.5641570141570142,0.5836160301242539,0.14718264970225292
new + legacy,Legacy,Postive Info,True,RandomForest,0.6546975546975546,0.08481338481338481,0.0826898326898327,0.1777992277992278,0.8324967824967824,0.7824505055461362,0.5663839638534842
new + legacy,Legacy,Postive Info,False,RandomForest,0.6863577863577865,0.1097812097812098,0.05102960102960103,0.1528314028314028,0.8391891891891894,0.7563809791250691,0.5600927001554763
new + legacy,Legacy,Postive Info,True,SVM_PUK,0.6361647361647361,0.06383526383526383,0.10122265122265123,0.1987773487773488,0.8349420849420849,0.809825154847688,0.5950352118821155
new + legacy,Legacy,Postive Info,False,SVM_PUK,0.6924710424710426,0.10598455598455599,0.044916344916344914,0.15662805662805662,0.8490990990990992,0.7677548129306409,0.587438180101987
legacy,False,CFS,True,J48,0.5901544401544402,0.07972972972972975,0.14227799227799226,0.1878378378378378,0.777992277992278,0.7538830583111026,0.47800363884805197
legacy,False,CFS,False,J48,0.635971685971686,0.11731016731016732,0.09646074646074645,0.15025740025740028,0.7862290862290863,0.7149344437167315,0.4414253116991503
legacy,False,CFS,True,KNN,0.6089446589446589,0.11988416988416987,0.12348777348777348,0.1476833976833977,0.7566280566280565,0.6916742544048817,0.3817330542179231
legacy,False,CFS,False,KNN,0.6145431145431145,0.12509652509652508,0.11788931788931789,0.1424710424710425,0.757014157014157,0.6857558185971471,0.37477914804964957
