%arff file generated by the Dark Reactions Project provided by Haverford College
%This arff is generated from a numpy array

@relation relation
@attribute descriptor_0 numeric
@attribute outcome {True, False}

@data
"6247.29744545","True"
"6591.35898726","False"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6300.7312455","True"
"6300.7312455","True"
"6300.7312455","True"
"4699.02050729","True"
"4699.02050729","True"
"4699.02050729","True"
"4699.02050729","True"
"4699.02050729","True"
"4699.02050729","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","False"
"6247.29744545","False"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","False"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","True"
"6247.29744545","False"
"6247.29744545","False"
"6247.29744545","False"
"6247.29744545","False"
"6247.29744545","False"
"7795.5743836","False"
"6247.29744545","False"
"6591.35898726","False"
"6591.35898726","False"
"6247.29744545","False"
"6591.35898726","False"
"6591.35898726","False"
"6591.35898726","False"
"6591.35898726","False"
"6591.35898726","False"
"6247.29744545","False"
"6247.29744545","False"
"6247.29744545","False"
"7279.48207088","False"
"7279.48207088","False"
"7279.48207088","False"
"7279.48207088","False"
"7279.48207088","False"
"6591.35898726","False"
"6591.35898726","False"
"6591.35898726","False"
"6591.35898726","False"
"6591.35898726","False"
"6591.35898726","False"
