@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R39,41,85,96,164,240,254,267,274'

@attribute orgvanderwaalsMin numeric
@attribute orgASA+Min numeric
@attribute orghbdamsdonGeomAvg numeric
@attribute oxlikevanderwaalsMax numeric
@attribute orgacc-waterdonratio numeric
@attribute PaulingElectronegMean numeric
@attribute hardnessMaxWeighted numeric
@attribute AtomicRadiusMeanWeighted numeric
@attribute outcome {1,2}

@data
211.8,211.8,2,-1,0,2.09,2.2798,0.4023,2
211.8,211.8,2,-1,0,2.09,2.3121,0.3651,2
211.8,211.8,2,-1,0,2.09,2.2092,0.3953,2
211.8,211.8,2,-1,0,2.09,2.337,0.4122,2
207.08,189.33,6,-1,0,2.09,3.7431,0.6009,2
207.08,189.33,6,-1,0,2.09,3.9519,0.6276,2
207.08,189.33,6,-1,0,2.09,2.6859,0.4527,2
207.08,189.33,6,-1,0,1.63,0.3014,0.1718,1
207.08,189.33,6,-1,0,1.63,0.3002,0.171,1
294.5,268.62,0.88,-1,-0.0064,1.63,0.302,0.1721,2
281.27,216.3,0.73,-1,-0.0048,1.63,0.3004,0.1712,2
258.23,222.38,4,-1,0,1.63,0.3079,0.1754,1
310.74,287.07,0.93,-1,-0.0037,1.63,0.2953,0.1683,2
310.74,287.07,0.93,-1,-0.0034,1.63,0.2932,0.1671,2
238.74,220.5,3,-1,0,1.63,0.2973,0.1694,2
282.76,265.65,8,-1,0,1.63,0.3109,0.1772,2
282.76,265.65,8,-1,0,1.63,0.294,0.1675,2
353.93,337.12,10,-1,0,1.63,0.3027,0.1725,2
353.93,337.12,10,-1,0,1.63,0.3353,0.1911,2
340.09,267.29,2,-1,0,1.63,0.3037,0.1731,2
295.52,244.26,4,-1,0,1.63,0.2896,0.165,2
295.52,244.26,4,-1,0,1.63,0.3004,0.1712,2
353.93,337.12,10,-1,0,2.09,3.6913,0.5953,2
353.93,337.12,10,-1,0,2.09,4.4776,0.7065,2
295.52,244.26,4,-1,0,2.09,4.3916,0.6923,2
206.42,188.71,5,-1,0,2.09,3.3969,0.561,2
211.8,211.8,2,-1,0,2.09,4.5617,0.7141,2
211.8,211.8,2,-1,0,2.09,3.3801,0.554,2
203.38,203.38,4,-1,0,2.09,3.5774,0.5797,2
