@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-R6,8,14,17,19,21-24,28-30,32,36-38,40,42-43,45-48,50-57,59,61-62,65-70,72-81,86-95,97-98,101-102,104-163,165-167,169,171,173,177-179,181,184,186-187,189-196,198-227,229-233,235-237,242-253,256-257,259-260,262-266,268-273'

@attribute Temp_max numeric
@attribute time numeric
@attribute slowCool {yes,no}
@attribute pH numeric
@attribute leak {yes,no}
@attribute numberOrg numeric
@attribute numberComponents numeric
@attribute orgavgpolMax numeric
@attribute orgrefractivityMax numeric
@attribute orgmaximalprojectionareaMax numeric
@attribute orgmaximalprojectionradiusMax numeric
@attribute orgminimalprojectionareaMax numeric
@attribute orgminimalprojectionradiusMax numeric
@attribute orgavgpol_pHdependentMax numeric
@attribute orgvanderwaalsMax numeric
@attribute orgASA_PMax numeric
@attribute orgpolarsurfaceareaMax numeric
@attribute orghbdamsaccMax numeric
@attribute orgmaximalprojectionareaMin numeric
@attribute orgmaximalprojectionsizeMin numeric
@attribute orgminimalprojectionareaMin numeric
@attribute orgminimalprojectionradiusMin numeric
@attribute orgvanderwaalsMin numeric
@attribute orgASA+Min numeric
@attribute orgASA_PMin numeric
@attribute orgrefractivityArithAvg numeric
@attribute orgvanderwaalsArithAvg numeric
@attribute orgASA+ArithAvg numeric
@attribute orgASA_PArithAvg numeric
@attribute orgpolarsurfaceareaArithAvg numeric
@attribute orgmaximalprojectionsizeGeomAvg numeric
@attribute orgASA_PGeomAvg numeric
@attribute orgpolarsurfaceareaGeomAvg numeric
@attribute orghbdamsaccGeomAvg numeric
@attribute orghbdamsdonGeomAvg numeric
@attribute oxlikevanderwaalsMax numeric
@attribute oxlikeASA-Max numeric
@attribute oxlikeASA_HMax numeric
@attribute oxlikehbdamsaccMax numeric
@attribute orgacc-waterdonratio numeric
@attribute Na {yes,no}
@attribute Te {yes,no}
@attribute K {yes,no}
@attribute F {yes,no}
@attribute I {yes,no}
@attribute Mo {yes,no}
@attribute S {yes,no}
@attribute Se {yes,no}
@attribute Zn {yes,no}
@attribute Cl {yes,no}
@attribute Cr {yes,no}
@attribute P5 {yes,no}
@attribute PaulingElectronegMax numeric
@attribute PaulingElectronegMin numeric
@attribute IonizationMean numeric
@attribute EAMean numeric
@attribute PaulingElectronegMean numeric
@attribute PearsonElectronegMean numeric
@attribute hardnessMaxWeighted numeric
@attribute AtomicRadiusMaxWeighted numeric
@attribute PaulingElectronegMinWeighted numeric
@attribute AtomicRadiusMinWeighted numeric
@attribute AtomicRadiusMeanWeighted numeric
@attribute outcome {1,2}

@data
90,48,yes,2,no,1,3,12.65,34.07,34.07,3.56,27.24,3.36,13.36,211.8,17.76,8.88,0,34.07,6.62,27.24,3.36,211.8,211.8,17.76,34.07,211.8,211.8,17.76,8.88,6.62,17.76,8.88,0,2,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,2.2798,0.6295,0.0017,0.1751,0.4023,2
90,48,yes,2,no,1,3,12.65,34.07,34.07,3.56,27.24,3.36,13.36,211.8,17.76,8.88,0,34.07,6.62,27.24,3.36,211.8,211.8,17.76,34.07,211.8,211.8,17.76,8.88,6.62,17.76,8.88,0,2,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,2.3121,0.6385,0.0009,0.0917,0.3651,2
90,48,yes,2,no,1,3,12.65,34.07,34.07,3.56,27.24,3.36,13.36,211.8,17.76,8.88,0,34.07,6.62,27.24,3.36,211.8,211.8,17.76,34.07,211.8,211.8,17.76,8.88,6.62,17.76,8.88,0,2,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,2.2092,0.6101,0.0017,0.1805,0.3953,2
90,48,yes,1,no,1,3,12.65,34.07,34.07,3.56,27.24,3.36,13.36,211.8,17.76,8.88,0,34.07,6.62,27.24,3.36,211.8,211.8,17.76,34.07,211.8,211.8,17.76,8.88,6.62,17.76,8.88,0,2,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,2.337,0.6453,0.0017,0.179,0.4122,2
90,48,yes,2,no,1,3,7.08,17.87,28.05,3.87,17.02,2.6,7.76,207.08,96.11,55.28,0,28.05,5.3,17.02,2.6,207.08,189.33,96.11,17.87,207.08,189.33,96.11,55.28,5.3,96.11,55.28,0,6,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,3.7431,1.0336,0.0016,0.1681,0.6009,2
90,48,yes,2,no,1,3,7.08,17.87,28.05,3.87,17.02,2.6,7.76,207.08,96.11,55.28,0,28.05,5.3,17.02,2.6,207.08,189.33,96.11,17.87,207.08,189.33,96.11,55.28,5.3,96.11,55.28,0,6,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,3.9519,1.0913,0.0016,0.1639,0.6276,2
90,48,yes,2,no,1,3,7.08,17.87,28.05,3.87,17.02,2.6,7.76,207.08,96.11,55.28,0,28.05,5.3,17.02,2.6,207.08,189.33,96.11,17.87,207.08,189.33,96.11,55.28,5.3,96.11,55.28,0,6,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,2.6859,0.7417,0.0016,0.1637,0.4527,2
110,48,yes,2,no,1,2,7.08,17.87,28.05,3.87,17.02,2.6,7.76,207.08,96.11,55.28,0,28.05,5.3,17.02,2.6,207.08,189.33,96.11,17.87,207.08,189.33,96.11,55.28,5.3,96.11,55.28,0,6,-1,-1,-1,-1,0,no,no,no,no,no,no,no,no,no,no,no,no,1.63,1.63,650.9,50.6,1.63,350.7,0.3014,0.1718,0.0016,0.1718,0.1718,1
110,48,yes,2,no,1,2,7.08,17.87,28.05,3.87,17.02,2.6,7.76,207.08,96.11,55.28,0,28.05,5.3,17.02,2.6,207.08,189.33,96.11,17.87,207.08,189.33,96.11,55.28,5.3,96.11,55.28,0,6,-1,-1,-1,-1,0,no,no,no,no,no,no,no,no,no,no,no,no,1.63,1.63,650.9,50.6,1.63,350.7,0.3002,0.171,0.0016,0.171,0.171,1
110,48,yes,2,yes,1,2,13.33,37.45,47.62,4.77,23.42,3.62,13.69,294.5,31.24,27.03,1.12,47.62,4.08,23.42,3.62,294.5,268.62,31.24,37.45,294.5,268.62,31.24,27.03,4.08,31.24,27.03,1.12,0.88,-1,-1,-1,-1,-0.0064,no,no,no,no,no,no,no,no,no,no,no,no,1.63,1.63,650.9,50.6,1.63,350.7,0.302,0.1721,0.0016,0.1721,0.1721,2
110,48,yes,2,no,1,2,9.73,26.34,36.07,4.05,20.35,3.12,9.73,281.27,33.93,25.78,1.27,36.07,5.18,20.35,3.12,281.27,216.3,33.93,26.34,281.27,216.3,33.93,25.78,5.18,33.93,25.78,1.27,0.73,-1,-1,-1,-1,-0.0048,no,no,no,no,no,no,no,no,no,no,no,no,1.63,1.63,650.9,50.6,1.63,350.7,0.3004,0.1712,0.0016,0.1712,0.1712,2
110,48,yes,2,no,1,2,13.88,34.29,44.31,4.66,25.55,3.42,14.51,258.23,32.37,33.22,0,44.31,5.52,25.55,3.42,258.23,222.38,32.37,34.29,258.23,222.38,32.37,33.22,5.52,32.37,33.22,0,4,-1,-1,-1,-1,0,no,no,no,no,no,no,no,no,no,no,no,no,1.63,1.63,650.9,50.6,1.63,350.7,0.3079,0.1754,0.0017,0.1754,0.1754,1
110,48,yes,2,no,1,2,11.87,30.93,41.87,4.38,22.58,3.38,12.17,310.74,45.39,27.03,1.07,41.87,4.65,22.58,3.38,310.74,287.07,45.39,30.93,310.74,287.07,45.39,27.03,4.65,45.39,27.03,1.07,0.93,-1,-1,-1,-1,-0.0037,no,no,no,no,no,no,no,no,no,no,no,no,1.63,1.63,650.9,50.6,1.63,350.7,0.2953,0.1683,0.0016,0.1683,0.1683,2
110,48,yes,2,no,1,2,11.87,30.93,41.87,4.38,22.58,3.38,12.17,310.74,45.39,27.03,1.07,41.87,4.65,22.58,3.38,310.74,287.07,45.39,30.93,310.74,287.07,45.39,27.03,4.65,45.39,27.03,1.07,0.93,-1,-1,-1,-1,-0.0034,no,no,no,no,no,no,no,no,no,no,no,no,1.63,1.63,650.9,50.6,1.63,350.7,0.2932,0.1671,0.0016,0.1671,0.1671,2
110,48,yes,2,no,1,2,11.97,30.74,39.23,4.12,25.5,3.41,12.54,238.74,27.89,21.05,0,39.23,5.92,25.5,3.41,238.74,220.5,27.89,30.74,238.74,220.5,27.89,21.05,5.92,27.89,21.05,0,3,-1,-1,-1,-1,0,no,no,no,no,no,no,no,no,no,no,no,no,1.63,1.63,650.9,50.6,1.63,350.7,0.2973,0.1694,0.0016,0.1694,0.1694,2
110,48,yes,2,no,1,2,12.56,30.59,43.79,5.74,21.83,2.92,13.52,282.76,112.14,71.89,0,43.79,5.4,21.83,2.92,282.76,265.65,112.14,30.59,282.76,265.65,112.14,71.89,5.4,112.14,71.89,0,8,-1,-1,-1,-1,0,no,no,no,no,no,no,no,no,no,no,no,no,1.63,1.63,650.9,50.6,1.63,350.7,0.3109,0.1772,0.0017,0.1772,0.1772,2
110,48,yes,2,no,1,2,12.56,30.59,43.79,5.74,21.83,2.92,13.52,282.76,112.14,71.89,0,43.79,5.4,21.83,2.92,282.76,265.65,112.14,30.59,282.76,265.65,112.14,71.89,5.4,112.14,71.89,0,8,-1,-1,-1,-1,0,no,no,no,no,no,no,no,no,no,no,no,no,1.63,1.63,650.9,50.6,1.63,350.7,0.294,0.1675,0.0016,0.1675,0.1675,2
110,48,yes,2,no,1,2,18.04,43.32,55.87,6.48,28.27,3.44,19.47,353.93,128.75,88.5,0,55.87,5.93,28.27,3.44,353.93,337.12,128.75,43.32,353.93,337.12,128.75,88.5,5.93,128.75,88.5,0,10,-1,-1,-1,-1,0,no,no,no,no,no,no,no,no,no,no,no,no,1.63,1.63,650.9,50.6,1.63,350.7,0.3027,0.1725,0.0016,0.1725,0.1725,2
110,48,yes,2,no,1,2,18.04,43.32,55.87,6.48,28.27,3.44,19.47,353.93,128.75,88.5,0,55.87,5.93,28.27,3.44,353.93,337.12,128.75,43.32,353.93,337.12,128.75,88.5,5.93,128.75,88.5,0,10,-1,-1,-1,-1,0,no,no,no,no,no,no,no,no,no,no,no,no,1.63,1.63,650.9,50.6,1.63,350.7,0.3353,0.1911,0.0018,0.1911,0.1911,2
110,48,yes,2,no,1,2,14.87,38.01,45.76,5.19,28.56,3.83,15.43,340.09,16.6,8.88,0,45.76,5.88,28.56,3.83,340.09,267.29,16.6,38.01,340.09,267.29,16.6,8.88,5.88,16.6,8.88,0,2,-1,-1,-1,-1,0,no,no,no,no,no,no,no,no,no,no,no,no,1.63,1.63,650.9,50.6,1.63,350.7,0.3037,0.1731,0.0016,0.1731,0.1731,2
110,48,yes,2,no,1,2,11.15,27.42,38.27,5.06,19.3,2.62,11.76,295.52,44.53,33.22,0,38.27,4.91,19.3,2.62,295.52,244.26,44.53,27.42,295.52,244.26,44.53,33.22,4.91,44.53,33.22,0,4,-1,-1,-1,-1,0,no,no,no,no,no,no,no,no,no,no,no,no,1.63,1.63,650.9,50.6,1.63,350.7,0.2896,0.165,0.0016,0.165,0.165,2
110,48,yes,2,no,1,2,11.15,27.42,38.27,5.06,19.3,2.62,11.76,295.52,44.53,33.22,0,38.27,4.91,19.3,2.62,295.52,244.26,44.53,27.42,295.52,244.26,44.53,33.22,4.91,44.53,33.22,0,4,-1,-1,-1,-1,0,no,no,no,no,no,no,no,no,no,no,no,no,1.63,1.63,650.9,50.6,1.63,350.7,0.3004,0.1712,0.0016,0.1712,0.1712,2
110,48,yes,2,no,1,3,18.04,43.32,55.87,6.48,28.27,3.44,19.47,353.93,128.75,88.5,0,55.87,5.93,28.27,3.44,353.93,337.12,128.75,43.32,353.93,337.12,128.75,88.5,5.93,128.75,88.5,0,10,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,3.6913,1.0193,0.0016,0.1713,0.5953,2
110,48,yes,2,no,1,3,18.04,43.32,55.87,6.48,28.27,3.44,19.47,353.93,128.75,88.5,0,55.87,5.93,28.27,3.44,353.93,337.12,128.75,43.32,353.93,337.12,128.75,88.5,5.93,128.75,88.5,0,10,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,4.4776,1.2364,0.0017,0.1766,0.7065,2
110,48,yes,2,no,1,3,11.15,27.42,38.27,5.06,19.3,2.62,11.76,295.52,44.53,33.22,0,38.27,4.91,19.3,2.62,295.52,244.26,44.53,27.42,295.52,244.26,44.53,33.22,4.91,44.53,33.22,0,4,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,4.3916,1.2127,0.0016,0.1719,0.6923,2
110,48,yes,2,no,1,3,9.94,25.21,32.65,3.84,23.28,3.21,10.63,206.42,64.03,44.25,0,32.65,5.69,23.28,3.21,206.42,188.71,64.03,25.21,206.42,188.71,64.03,44.25,5.69,64.03,44.25,0,5,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,yes,no,no,2.55,1.63,795.95,122.8,2.09,459.35,3.3969,0.938,0.0018,0.184,0.561,2
110,48,yes,2,no,1,3,12.65,34.07,34.07,3.56,27.24,3.36,13.36,211.8,17.76,8.88,0,34.07,6.62,27.24,3.36,211.8,211.8,17.76,34.07,211.8,211.8,17.76,8.88,6.62,17.76,8.88,0,2,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,4.5617,1.2597,0.0016,0.1685,0.7141,2
110,48,yes,2,no,1,3,12.65,34.07,34.07,3.56,27.24,3.36,13.36,211.8,17.76,8.88,0,34.07,6.62,27.24,3.36,211.8,211.8,17.76,34.07,211.8,211.8,17.76,8.88,6.62,17.76,8.88,0,2,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,3.3801,0.9334,0.0017,0.1745,0.554,2
110,48,yes,2,no,1,3,9.88,25.45,33.73,3.6,23.12,3.57,10.57,203.38,41.81,33.22,0,33.73,5.56,23.12,3.57,203.38,203.38,41.81,25.45,203.38,203.38,41.81,33.22,5.56,41.81,33.22,0,4,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,3.5774,0.9879,0.0016,0.1716,0.5797,2
110,48,yes,2,yes,1,3,9.88,25.45,33.73,3.6,23.12,3.57,10.57,203.38,41.81,33.22,0,33.73,5.56,23.12,3.57,203.38,203.38,41.81,25.45,203.38,203.38,41.81,33.22,5.56,41.81,33.22,0,4,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,5.2817,1.4585,0.0017,0.1747,0.8166,1
90,24,yes,2,no,1,3,14.87,38.01,45.76,5.19,28.56,3.83,15.43,340.09,16.6,8.88,0,45.76,5.88,28.56,3.83,340.09,267.29,16.6,38.01,340.09,267.29,16.6,8.88,5.88,16.6,8.88,0,2,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,2.2116,0.6107,0.0016,0.1674,0.389,2
90,24,yes,2,no,1,3,12.56,30.59,43.79,5.74,21.83,2.92,13.52,282.76,112.14,71.89,0,43.79,5.4,21.83,2.92,282.76,265.65,112.14,30.59,282.76,265.65,112.14,71.89,5.4,112.14,71.89,0,8,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,2.3413,0.6465,0.0016,0.1707,0.4086,2
90,24,yes,2,no,1,3,12.56,30.59,43.79,5.74,21.83,2.92,13.52,282.76,112.14,71.89,0,43.79,5.4,21.83,2.92,282.76,265.65,112.14,30.59,282.76,265.65,112.14,71.89,5.4,112.14,71.89,0,8,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,1.5947,0.4404,0.0016,0.1696,0.305,2
90,24,yes,2,no,1,3,12.56,30.59,43.79,5.74,21.83,2.92,13.52,282.76,112.14,71.89,0,43.79,5.4,21.83,2.92,282.76,265.65,112.14,30.59,282.76,265.65,112.14,71.89,5.4,112.14,71.89,0,8,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,3.729,1.0297,0.0016,0.1647,0.5972,2
90,24,yes,2,no,1,3,12.56,30.59,43.79,5.74,21.83,2.92,13.52,282.76,112.14,71.89,0,43.79,5.4,21.83,2.92,282.76,265.65,112.14,30.59,282.76,265.65,112.14,71.89,5.4,112.14,71.89,0,8,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,4.5764,1.2637,0.0016,0.1719,0.7178,2
90,24,yes,2,no,1,3,14.02,36.04,43.59,4.69,26.44,3.33,14.53,275.81,13.86,8.88,0.01,43.59,5.25,26.44,3.33,275.81,239.3,13.86,36.04,275.81,239.3,13.86,8.88,5.25,13.86,8.88,0.01,1.99,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,2.258,0.6235,0.0016,0.1728,0.3981,2
90,24,yes,2,no,1,3,14.02,36.04,43.59,4.69,26.44,3.33,14.53,275.81,13.86,8.88,0.01,43.59,5.25,26.44,3.33,275.81,239.3,13.86,36.04,275.81,239.3,13.86,8.88,5.25,13.86,8.88,0.01,1.99,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,3.7081,1.024,0.0016,0.1685,0.5963,2
90,24,yes,2,no,1,3,14.02,36.04,43.59,4.69,26.44,3.33,14.53,275.81,13.86,8.88,0.01,43.59,5.25,26.44,3.33,275.81,239.3,13.86,36.04,275.81,239.3,13.86,8.88,5.25,13.86,8.88,0.01,1.99,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,4.4527,1.2296,0.0016,0.1726,0.7011,2
90,48,no,1,no,1,3,9.73,26.34,36.07,4.05,20.35,3.12,10.08,273.23,59.99,27.03,1.03,36.07,5.18,20.35,3.12,273.23,244.65,59.99,26.34,273.23,244.65,59.99,27.03,5.18,59.99,27.03,1.03,0.97,-1,-1,-1,-1,-0.0033,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,2.5756,0.7112,0.0016,0.1728,0.442,2
90,48,no,1,no,1,3,9.94,25.21,32.65,3.84,23.28,3.21,10.63,206.42,64.03,44.25,0,32.65,5.69,23.28,3.21,206.42,188.71,64.03,25.21,206.42,188.71,64.03,44.25,5.69,64.03,44.25,0,5,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,yes,no,no,2.55,1.63,795.95,122.8,2.09,459.35,2.1928,0.6055,0.0016,0.1719,0.3887,2
90,48,no,1,no,1,3,13.88,34.29,44.31,4.66,25.55,3.42,14.51,258.23,32.37,33.22,0,44.31,5.52,25.55,3.42,258.23,222.38,32.37,34.29,258.23,222.38,32.37,33.22,5.52,32.37,33.22,0,4,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,2.2119,0.6108,0.0017,0.1756,0.3932,2
90,48,no,1,no,1,3,13.33,37.45,47.62,4.77,23.42,3.62,13.69,294.5,31.24,27.03,1,47.62,4.08,23.42,3.62,294.5,268.62,31.24,37.45,294.5,268.62,31.24,27.03,4.08,31.24,27.03,1,1,-1,-1,-1,-1,-0.0046,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,2.2341,0.6169,0.0017,0.1745,0.3957,2
90,48,no,1,no,1,3,13.33,37.45,47.62,4.77,23.42,3.62,13.69,294.5,31.24,27.03,1,47.62,4.08,23.42,3.62,294.5,268.62,31.24,37.45,294.5,268.62,31.24,27.03,4.08,31.24,27.03,1,1,-1,-1,-1,-1,-0.0035,yes,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,1.353,0.3736,0.0019,0.2029,0.2883,2
90,24,yes,2,no,1,3,14.87,38.01,45.76,5.19,28.56,3.83,15.43,340.09,16.6,8.88,0,45.76,5.88,28.56,3.83,340.09,267.29,16.6,38.01,340.09,267.29,16.6,8.88,5.88,16.6,8.88,0,2,-1,-1,-1,-1,0,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,2.218,0.6125,0.0017,0.1732,0.3928,2
90,24,yes,2,no,1,3,9.73,26.34,36.07,4.05,20.35,3.12,9.73,281.27,33.93,25.78,1.27,36.07,5.18,20.35,3.12,281.27,216.3,33.93,26.34,281.27,216.3,33.93,25.78,5.18,33.93,25.78,1.27,0.73,-1,-1,-1,-1,-0.0045,no,no,no,no,no,no,no,yes,no,no,no,no,2.55,1.63,795.95,122.8,2.09,459.35,2.5834,0.7134,0.0016,0.1719,0.4426,2
