@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R2,58,64,103,168,180,197,238,274'

@attribute time numeric
@attribute orgvanderwaalsArithAvg numeric
@attribute orgpolarsurfaceareaArithAvg numeric
@attribute oxlikehbdamsaccMax numeric
@attribute Na {yes,no}
@attribute S {yes,no}
@attribute P5 {yes,no}
@attribute IonizationMean numeric
@attribute outcome {1,2}

@data
48,211.8,8.88,-1,no,no,no,795.95,2
48,211.8,8.88,-1,no,no,no,795.95,2
48,211.8,8.88,-1,no,no,no,795.95,2
48,211.8,8.88,-1,no,no,no,795.95,2
48,207.08,55.28,-1,no,no,no,795.95,2
48,207.08,55.28,-1,no,no,no,795.95,2
48,207.08,55.28,-1,no,no,no,795.95,2
48,207.08,55.28,-1,no,no,no,650.9,1
48,207.08,55.28,-1,no,no,no,650.9,1
48,294.5,27.03,-1,no,no,no,650.9,2
48,281.27,25.78,-1,no,no,no,650.9,2
48,258.23,33.22,-1,no,no,no,650.9,1
48,310.74,27.03,-1,no,no,no,650.9,2
48,310.74,27.03,-1,no,no,no,650.9,2
48,238.74,21.05,-1,no,no,no,650.9,2
48,282.76,71.89,-1,no,no,no,650.9,2
48,282.76,71.89,-1,no,no,no,650.9,2
48,353.93,88.5,-1,no,no,no,650.9,2
48,353.93,88.5,-1,no,no,no,650.9,2
48,340.09,8.88,-1,no,no,no,650.9,2
48,295.52,33.22,-1,no,no,no,650.9,2
48,295.52,33.22,-1,no,no,no,650.9,2
48,353.93,88.5,-1,no,no,no,795.95,2
48,353.93,88.5,-1,no,no,no,795.95,2
48,295.52,33.22,-1,no,no,no,795.95,2
48,206.42,44.25,-1,no,no,no,795.95,2
48,211.8,8.88,-1,no,no,no,795.95,2
48,211.8,8.88,-1,no,no,no,795.95,2
48,203.38,33.22,-1,no,no,no,795.95,2
48,203.38,33.22,-1,no,no,no,795.95,1
24,340.09,8.88,-1,no,no,no,795.95,2
24,282.76,71.89,-1,no,no,no,795.95,2
24,282.76,71.89,-1,no,no,no,795.95,2
24,282.76,71.89,-1,no,no,no,795.95,2
24,282.76,71.89,-1,no,no,no,795.95,2
24,275.81,8.88,-1,no,no,no,795.95,2
24,275.81,8.88,-1,no,no,no,795.95,2
24,275.81,8.88,-1,no,no,no,795.95,2
48,273.23,27.03,-1,no,no,no,795.95,2
48,206.42,44.25,-1,no,no,no,795.95,2
48,258.23,33.22,-1,no,no,no,795.95,2
48,294.5,27.03,-1,no,no,no,795.95,2
48,294.5,27.03,-1,yes,no,no,795.95,2
24,340.09,8.88,-1,no,no,no,795.95,2
24,281.27,25.78,-1,no,no,no,795.95,2
24,294.5,27.03,-1,no,no,no,795.95,2
24,258.23,33.22,-1,no,no,no,795.95,2
20,275.81,8.88,-1,yes,no,no,795.95,2
20,275.81,8.88,-1,yes,no,no,795.95,1
20,275.81,8.88,-1,yes,no,no,795.95,1
20,275.81,8.88,-1,yes,no,no,795.95,1
20,275.81,8.88,-1,yes,no,no,795.95,1
60,238.74,21.05,8.3,yes,no,no,795.95,2
60,238.74,21.05,8.04,yes,no,no,795.95,2
60,238.74,21.05,8.82,yes,no,no,795.95,2
24,298.21,25.78,-1,yes,no,no,795.95,2
24,206.42,44.25,-1,yes,no,no,795.95,2
24,206.42,44.25,-1,yes,no,no,795.95,2
24,340.09,8.88,-1,yes,no,no,795.95,2
24,258.23,33.22,-1,yes,no,no,795.95,1
24,239.3,0,-1,yes,no,no,795.95,1
24,281.27,25.78,-1,yes,no,no,795.95,2
24,281.27,25.78,-1,yes,no,no,795.95,2
24,298.21,25.78,-1,yes,no,no,795.95,2
24,298.21,25.78,-1,yes,no,no,795.95,2
24,206.42,44.25,-1,yes,no,no,795.95,2
24,340.09,8.88,-1,yes,no,no,795.95,2
60,275.81,8.88,-1,yes,no,no,795.95,2
60,340.09,8.88,-1,no,no,no,795.95,2
60,340.09,8.88,-1,no,no,no,795.95,2
60,340.09,8.88,-1,no,no,no,795.95,2
60,340.09,8.88,-1,no,no,no,795.95,2
60,282.76,71.89,-1,no,no,no,795.95,2
60,282.76,71.89,-1,no,no,no,795.95,2
60,282.76,71.89,-1,no,no,no,795.95,2
20,206.5,44.25,-1,yes,no,no,795.95,2
20,206.42,44.25,-1,yes,no,no,795.95,2
20,206.42,44.25,-1,yes,no,no,795.95,2
20,229.03,33.22,8.3,yes,no,no,795.95,2
20,197.94,44.25,8.04,yes,no,no,795.95,2
20,206.5,44.25,8.04,yes,no,no,795.95,2
20,353.93,88.5,8.3,yes,no,no,795.95,2
20,405.37,62.96,8.3,yes,no,no,795.95,2
72,218.32,28.64,-1,no,yes,no,795.95,2
72,281.27,25.78,-1,no,yes,no,795.95,2
72,289.27,7.68,-1,no,yes,no,795.95,2
72,352.79,7.68,-1,no,yes,no,795.95,1
312,218.32,28.64,-1,no,yes,no,795.95,2
312,281.27,25.78,-1,no,yes,no,795.95,2
312,273.45,28.64,-1,no,yes,no,795.95,2
312,289.27,7.68,-1,no,yes,no,795.95,2
312,352.79,7.68,-1,no,yes,no,795.95,2
60,206.42,44.25,9.99,yes,no,yes,760.1,1
60,298.21,25.78,9.99,yes,no,yes,760.1,2
60,273.45,28.64,9.99,yes,no,yes,760.1,2
60,210.31,33.22,9.99,yes,no,yes,760.1,2
60,324.05,25.78,9.99,yes,no,yes,760.1,2
60,368.01,83.92,9.99,yes,no,yes,760.1,2
60,239.3,0,9.99,yes,no,yes,760.1,2
60,301.3,55.28,9.99,yes,no,yes,760.1,2
60,289.27,7.68,9.99,yes,no,yes,760.1,2
60,352.79,7.68,9.99,yes,no,yes,760.1,2
60,299.78,67.31,9.99,yes,no,yes,760.1,2
60,295.52,33.22,9.99,yes,no,yes,760.1,2
60,346.48,86.16,9.99,yes,no,yes,760.1,2
60,284.53,47.49,9.99,yes,no,yes,760.1,2
24,218.32,28.64,-1,no,yes,no,795.95,2
24,218.32,28.64,-1,no,yes,no,795.95,2
24,218.32,28.64,-1,no,yes,no,795.95,2
24,273.45,28.64,-1,no,yes,no,795.95,1
24,206.42,44.25,-1,no,yes,no,795.95,2
24,281.27,25.78,-1,no,yes,no,795.95,2
24,281.27,25.78,-1,no,yes,no,795.95,2
24,281.27,25.78,-1,no,yes,no,795.95,2
20,402.71,24.75,-1,yes,no,no,795.95,2
20,402.71,24.75,-1,yes,no,no,795.95,2
24,294.5,27.03,-1,no,yes,no,795.95,2
24,298.21,25.78,-1,no,yes,no,795.95,2
24,206.42,44.25,-1,no,yes,no,795.95,1
24,281.27,25.78,-1,no,yes,no,795.95,2
24,203.38,33.22,-1,no,yes,no,795.95,2
24,310.74,27.03,-1,no,yes,no,795.95,1
24,324.05,25.78,-1,no,yes,no,795.95,2
24,353.93,88.5,-1,no,yes,no,795.95,2
24,368.01,83.92,-1,no,yes,no,795.95,2
24,238.74,21.05,-1,no,yes,no,795.95,2
24,269.22,48.69,-1,no,yes,no,795.95,2
24,269.22,48.69,-1,no,yes,no,795.95,2
24,298.21,25.78,-1,no,yes,no,795.95,2
24,294.5,27.03,-1,no,yes,no,795.95,2
24,210.31,33.22,-1,no,yes,no,795.95,2
24,206.42,44.25,-1,no,yes,no,795.95,2
24,273.23,27.03,-1,no,yes,no,795.95,2
24,273.23,27.03,-1,no,yes,no,795.95,1
24,206.42,44.25,-1,no,yes,no,795.95,2
24,206.42,44.25,-1,no,yes,no,795.95,1
24,258.23,33.22,-1,no,yes,no,795.95,2
24,258.23,33.22,-1,no,yes,no,795.95,2
24,294.5,27.03,-1,no,yes,no,795.95,2
24,397.24,64.16,-1,no,yes,no,795.95,1
24,324.05,25.78,-1,no,yes,no,795.95,2
20,294.5,27.03,-1,yes,no,no,795.95,2
20,206.42,44.25,-1,yes,no,no,795.95,2
