@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R2,165-166,274'

@attribute time numeric
@attribute orgdon-wateraccratio numeric
@attribute inorg-org-moleratio numeric
@attribute outcome {1,2,3,4}

@data
48,-0.0059,6.6875,3
48,-0.0015,25.368,3
48,-0.0059,6.4129,3
48,-0.0012,29.8271,3
48,-0.0056,6.0806,4
48,-0.0013,31.0822,3
48,-0.0215,9.0958,3
48,-0.0288,6.4951,3
48,-0.0184,11.3858,3
48,-0.0184,7.3618,3
48,-0.0211,0.855,2
48,-0.0229,0.7796,2
48,-0.0039,0.6557,3
48,-0.005,0.5284,3
48,-0.0027,0.7971,3
48,-0.003,0.7058,3
48,-0.0133,0.9231,2
48,-0.0129,0.8912,2
48,-0.0033,0.8217,3
48,-0.003,0.9,3
48,-0.0101,0.9076,3
48,-0.0103,0.8607,3
48,-0.0251,0.9682,4
48,-0.0297,0.7915,4
48,-0.0279,0.9933,4
48,-0.0481,0.6967,4
48,-0.0058,1.0254,3
48,-0.006,1.0061,3
48,-0.0122,0.9349,4
48,-0.0115,1.0369,4
48,-0.0252,10.7755,4
48,-0.0265,12.5013,4
48,-0.0109,9.9266,4
48,-0.0109,11.53,3
48,-0.0128,10.2319,3
48,-0.0124,13.4553,4
48,-0.0057,11.5632,3
48,-0.0056,9.019,3
48,-0.0105,9.6015,3
48,-0.0105,12.3131,3
48,-0.0112,9.4959,3
48,-0.0121,12.2556,1
24,-0.004,4.9734,3
24,-0.0044,6.3208,3
24,-0.0041,11.1391,3
24,-0.004,13.2688,3
24,-0.0216,5.4194,4
24,-0.0169,5.0035,4
24,-0.0168,10.3836,4
24,-0.0186,11.5862,4
24,-0.0044,4.5219,3
24,-0.0039,7.1573,3
24,-0.0043,10.014,3
24,-0.004,12.8224,3
48,-0.0031,7.0662,3
48,-0.0151,6.1217,3
48,-0.0119,6.5056,3
48,-0.0059,6.5432,3
48,-0.0046,4.2832,4
48,-0.0035,2.6337,4
24,-0.0057,6.6123,4
24,-0.01,6.6316,3
24,-0.0026,6.2422,3
24,-0.0145,6.6145,4
24,-0.0032,4.6729,4
24,-0.0119,6.476,3
20,-0.0063,6.6809,4
20,-0.006,6.077,2
20,-0.0058,6.9562,1
20,-0.0038,7.2193,1
20,-0.0035,7.2762,1
20,-0.0044,6.0947,1
60,-0.0062,4.8941,4
60,-0.0069,4.3373,4
