@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R18,48,60,162-163,171,233,250,255,262,273-274'

@attribute orgavgpol_pHdependentMax numeric
@attribute orgavgpolArithAvg numeric
@attribute orgASA+ArithAvg numeric
@attribute inorg-water-moleratio numeric
@attribute org-water-moleratio numeric
@attribute Br {yes,no}
@attribute EAMin numeric
@attribute IonizationMaxWeighted numeric
@attribute AtomicRadiusMaxWeighted numeric
@attribute IonizationMeanWeighted numeric
@attribute AtomicRadiusGeomWeighted numeric
@attribute outcome {1,2,3,4}

@data
13.36,12.65,211.8,0.0196,0.0029,no,50.6,5.7515,0.6295,3.209,0.332,3
13.36,12.65,211.8,0.0191,0.0008,no,50.6,5.7803,0.6327,3.2168,0.3295,3
13.36,12.65,211.8,0.019,0.003,no,50.6,5.8329,0.6385,3.0909,0.2419,3
13.36,12.65,211.8,0.0178,0.0006,no,50.6,5.4564,0.5972,2.9007,0.2327,3
13.36,12.65,211.8,0.017,0.0028,no,50.6,5.5734,0.6101,3.1303,0.3318,4
13.36,12.65,211.8,0.0204,0.0007,no,50.6,5.8957,0.6453,3.2885,0.3399,3
7.76,7.08,189.33,0.0326,0.0036,no,50.6,9.4431,1.0336,5.0415,0.4168,3
7.76,7.08,189.33,0.0312,0.0048,no,50.6,9.9697,1.0913,5.2967,0.4229,3
7.76,7.08,189.33,0.035,0.0031,no,50.6,10.1241,1.1082,5.3895,0.4367,3
7.76,7.08,189.33,0.0225,0.0031,no,50.6,6.7759,0.7417,3.6996,0.3485,3
7.76,7.08,189.33,0.003,0.0035,no,50.6,0.6538,0.1718,0.6538,0.1718,2
7.76,7.08,189.33,0.003,0.0038,no,50.6,0.651,0.171,0.651,0.171,2
13.69,13.33,268.62,0.0029,0.0044,no,50.6,0.6627,0.1741,0.6627,0.1741,3
13.69,13.33,268.62,0.003,0.0057,no,50.6,0.6549,0.1721,0.6549,0.1721,3
9.73,9.73,216.3,0.003,0.0038,no,50.6,0.6516,0.1712,0.6516,0.1712,3
9.73,9.73,216.3,0.0029,0.0041,no,50.6,0.636,0.1671,0.636,0.1671,3
14.51,13.88,222.38,0.0031,0.0033,no,50.6,0.6677,0.1754,0.6677,0.1754,2
14.51,13.88,222.38,0.0029,0.0032,no,50.6,0.6249,0.1642,0.6249,0.1642,2
12.17,11.87,287.07,0.0029,0.0035,no,50.6,0.6404,0.1683,0.6404,0.1683,3
12.17,11.87,287.07,0.0029,0.0032,no,50.6,0.636,0.1671,0.636,0.1671,3
12.54,11.97,220.5,0.0031,0.0034,no,50.6,0.6688,0.1757,0.6688,0.1757,3
12.54,11.97,220.5,0.0029,0.0034,no,50.6,0.6449,0.1694,0.6449,0.1694,3
13.52,12.56,265.65,0.003,0.0031,no,50.6,0.6744,0.1772,0.6744,0.1772,4
13.52,12.56,265.65,0.0029,0.0037,no,50.6,0.6377,0.1675,0.6377,0.1675,4
19.47,18.04,337.12,0.0028,0.0028,no,50.6,0.6566,0.1725,0.6566,0.1725,4
19.47,18.04,337.12,0.0033,0.0048,no,50.6,0.7273,0.1911,0.7273,0.1911,4
15.43,14.87,267.29,0.003,0.0029,no,50.6,0.6772,0.1779,0.6772,0.1779,3
15.43,14.87,267.29,0.003,0.003,no,50.6,0.6588,0.1731,0.6588,0.1731,3
11.76,11.15,244.26,0.0028,0.003,no,50.6,0.6282,0.165,0.6282,0.165,4
11.76,11.15,244.26,0.003,0.0029,no,50.6,0.6516,0.1712,0.6516,0.1712,4
19.47,18.04,337.12,0.0271,0.0025,no,50.6,9.3125,1.0193,4.9823,0.4179,4
