@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R1-3,5,18,26,63,83,99-100,103,170,172,174,180,182,234,255,261,274'

@attribute Temp_max numeric
@attribute time numeric
@attribute slowCool {yes,no}
@attribute leak {yes,no}
@attribute orgavgpol_pHdependentMax numeric
@attribute orgpolarsurfaceareaMax numeric
@attribute orgASA_PArithAvg numeric
@attribute orgpolarsurfaceareaGeomAvg numeric
@attribute oxlikeASA-Max numeric
@attribute oxlikeASA_HMax numeric
@attribute oxlikehbdamsaccMax numeric
@attribute Te {yes,no}
@attribute K {yes,no}
@attribute F {yes,no}
@attribute S {yes,no}
@attribute Se {yes,no}
@attribute PaulingElectronegMin numeric
@attribute AtomicRadiusMaxWeighted numeric
@attribute AtomicRadiusMinWeighted numeric
@attribute outcome {1,2}

@data
90,48,yes,no,13.36,8.88,17.76,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.6295,0.1751,2
90,48,yes,no,13.36,8.88,17.76,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.6385,0.0917,2
90,48,yes,no,13.36,8.88,17.76,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.6101,0.1805,2
90,48,yes,no,13.36,8.88,17.76,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.6453,0.179,2
90,48,yes,no,7.76,55.28,96.11,55.28,-1,-1,-1,no,no,no,no,yes,1.63,1.0336,0.1681,2
90,48,yes,no,7.76,55.28,96.11,55.28,-1,-1,-1,no,no,no,no,yes,1.63,1.0913,0.1639,2
90,48,yes,no,7.76,55.28,96.11,55.28,-1,-1,-1,no,no,no,no,yes,1.63,0.7417,0.1637,2
110,48,yes,no,7.76,55.28,96.11,55.28,-1,-1,-1,no,no,no,no,no,1.63,0.1718,0.1718,1
110,48,yes,no,7.76,55.28,96.11,55.28,-1,-1,-1,no,no,no,no,no,1.63,0.171,0.171,1
110,48,yes,yes,13.69,27.03,31.24,27.03,-1,-1,-1,no,no,no,no,no,1.63,0.1721,0.1721,2
110,48,yes,no,9.73,25.78,33.93,25.78,-1,-1,-1,no,no,no,no,no,1.63,0.1712,0.1712,2
110,48,yes,no,14.51,33.22,32.37,33.22,-1,-1,-1,no,no,no,no,no,1.63,0.1754,0.1754,1
110,48,yes,no,12.17,27.03,45.39,27.03,-1,-1,-1,no,no,no,no,no,1.63,0.1683,0.1683,2
110,48,yes,no,12.17,27.03,45.39,27.03,-1,-1,-1,no,no,no,no,no,1.63,0.1671,0.1671,2
110,48,yes,no,12.54,21.05,27.89,21.05,-1,-1,-1,no,no,no,no,no,1.63,0.1694,0.1694,2
110,48,yes,no,13.52,71.89,112.14,71.89,-1,-1,-1,no,no,no,no,no,1.63,0.1772,0.1772,2
110,48,yes,no,13.52,71.89,112.14,71.89,-1,-1,-1,no,no,no,no,no,1.63,0.1675,0.1675,2
110,48,yes,no,19.47,88.5,128.75,88.5,-1,-1,-1,no,no,no,no,no,1.63,0.1725,0.1725,2
110,48,yes,no,19.47,88.5,128.75,88.5,-1,-1,-1,no,no,no,no,no,1.63,0.1911,0.1911,2
110,48,yes,no,15.43,8.88,16.6,8.88,-1,-1,-1,no,no,no,no,no,1.63,0.1731,0.1731,2
110,48,yes,no,11.76,33.22,44.53,33.22,-1,-1,-1,no,no,no,no,no,1.63,0.165,0.165,2
110,48,yes,no,11.76,33.22,44.53,33.22,-1,-1,-1,no,no,no,no,no,1.63,0.1712,0.1712,2
110,48,yes,no,19.47,88.5,128.75,88.5,-1,-1,-1,no,no,no,no,yes,1.63,1.0193,0.1713,2
110,48,yes,no,19.47,88.5,128.75,88.5,-1,-1,-1,no,no,no,no,yes,1.63,1.2364,0.1766,2
110,48,yes,no,11.76,33.22,44.53,33.22,-1,-1,-1,no,no,no,no,yes,1.63,1.2127,0.1719,2
110,48,yes,no,10.63,44.25,64.03,44.25,-1,-1,-1,no,no,no,no,yes,1.63,0.938,0.184,2
110,48,yes,no,13.36,8.88,17.76,8.88,-1,-1,-1,no,no,no,no,yes,1.63,1.2597,0.1685,2
110,48,yes,no,13.36,8.88,17.76,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.9334,0.1745,2
110,48,yes,no,10.57,33.22,41.81,33.22,-1,-1,-1,no,no,no,no,yes,1.63,0.9879,0.1716,2
110,48,yes,yes,10.57,33.22,41.81,33.22,-1,-1,-1,no,no,no,no,yes,1.63,1.4585,0.1747,1
90,24,yes,no,15.43,8.88,16.6,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.6107,0.1674,2
90,24,yes,no,13.52,71.89,112.14,71.89,-1,-1,-1,no,no,no,no,yes,1.63,0.6465,0.1707,2
90,24,yes,no,13.52,71.89,112.14,71.89,-1,-1,-1,no,no,no,no,yes,1.63,0.4404,0.1696,2
90,24,yes,no,13.52,71.89,112.14,71.89,-1,-1,-1,no,no,no,no,yes,1.63,1.0297,0.1647,2
90,24,yes,no,13.52,71.89,112.14,71.89,-1,-1,-1,no,no,no,no,yes,1.63,1.2637,0.1719,2
90,24,yes,no,14.53,8.88,13.86,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.6235,0.1728,2
90,24,yes,no,14.53,8.88,13.86,8.88,-1,-1,-1,no,no,no,no,yes,1.63,1.024,0.1685,2
90,24,yes,no,14.53,8.88,13.86,8.88,-1,-1,-1,no,no,no,no,yes,1.63,1.2296,0.1726,2
90,48,no,no,10.08,27.03,59.99,27.03,-1,-1,-1,no,no,no,no,yes,1.63,0.7112,0.1728,2
90,48,no,no,10.63,44.25,64.03,44.25,-1,-1,-1,no,no,no,no,yes,1.63,0.6055,0.1719,2
90,48,no,no,14.51,33.22,32.37,33.22,-1,-1,-1,no,no,no,no,yes,1.63,0.6108,0.1756,2
90,48,no,no,13.69,27.03,31.24,27.03,-1,-1,-1,no,no,no,no,yes,1.63,0.6169,0.1745,2
90,48,no,no,13.69,27.03,31.24,27.03,-1,-1,-1,no,no,no,no,yes,1.63,0.3736,0.2029,2
90,24,yes,no,15.43,8.88,16.6,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.6125,0.1732,2
90,24,yes,no,9.73,25.78,33.93,25.78,-1,-1,-1,no,no,no,no,yes,1.63,0.7134,0.1719,2
90,24,yes,no,13.69,27.03,31.24,27.03,-1,-1,-1,no,no,no,no,yes,1.63,0.6867,0.1867,2
90,24,yes,no,14.51,33.22,32.37,33.22,-1,-1,-1,no,no,no,no,yes,1.63,0.6162,0.1807,2
130,20,yes,no,14.53,8.88,13.86,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.6506,0.1754,2
130,20,yes,no,14.53,8.88,13.86,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.5394,0.1756,1
130,20,yes,yes,14.53,8.88,13.86,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.6032,0.1684,1
130,20,yes,yes,14.53,8.88,13.86,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.634,0.1712,1
130,20,yes,yes,14.53,8.88,13.86,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.5877,0.1743,1
105,60,yes,no,12.54,21.05,27.89,21.05,178.8,0,8.3,no,no,no,no,yes,1.63,0.4146,0.1737,2
105,60,yes,no,12.54,21.05,27.89,21.05,150.36,0,8.04,no,no,no,no,yes,1.63,0.4303,0.1862,2
105,60,yes,no,12.54,21.05,27.89,21.05,178.8,0,8.82,no,no,no,no,yes,1.63,0.4173,0.171,2
90,24,?,no,13.33,25.78,30.99,25.78,-1,-1,-1,no,no,no,no,yes,1.63,0.3803,0.2028,2
90,24,?,no,10.63,44.25,64.03,44.25,-1,-1,-1,no,no,no,no,yes,1.63,0.3714,0.2074,2
90,24,?,no,10.63,44.25,64.03,44.25,-1,-1,-1,no,no,no,no,yes,1.63,0.2021,0.1332,2
90,24,?,no,15.43,8.88,16.6,8.88,-1,-1,-1,no,no,no,no,yes,1.63,0.3816,0.2066,2
90,24,?,no,14.51,33.22,32.37,33.22,-1,-1,-1,no,no,no,no,yes,1.63,0.2081,0.143,1
