@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R1,3,5-6,33,63,100,165,168,170,172,180,184,231,274'

@attribute Temp_max numeric
@attribute slowCool {yes,no}
@attribute leak {yes,no}
@attribute numberInorg numeric
@attribute orgmaximalprojectionsizeMin numeric
@attribute orgASA_PArithAvg numeric
@attribute oxlikeASA_HMax numeric
@attribute orgdon-wateraccratio numeric
@attribute Na {yes,no}
@attribute Te {yes,no}
@attribute K {yes,no}
@attribute S {yes,no}
@attribute Co {yes,no}
@attribute AtomicRadiusMax numeric
@attribute outcome {1,2,3,4}

@data
90,yes,no,2,6.62,17.76,-1,-0.0059,no,no,no,no,no,171,3
90,yes,no,2,6.62,17.76,-1,-0.0015,no,no,no,no,no,171,3
90,yes,no,2,6.62,17.76,-1,-0.0059,no,no,no,no,no,171,3
90,yes,no,2,6.62,17.76,-1,-0.0012,no,no,no,no,no,171,3
90,yes,no,2,6.62,17.76,-1,-0.0056,no,no,no,no,no,171,4
90,yes,no,2,6.62,17.76,-1,-0.0013,no,no,no,no,no,171,3
90,yes,no,2,5.3,96.11,-1,-0.0215,no,no,no,no,no,171,3
90,yes,no,2,5.3,96.11,-1,-0.0288,no,no,no,no,no,171,3
90,yes,no,2,5.3,96.11,-1,-0.0184,no,no,no,no,no,171,3
90,yes,no,2,5.3,96.11,-1,-0.0184,no,no,no,no,no,171,3
110,yes,no,1,5.3,96.11,-1,-0.0211,no,no,no,no,no,171,2
110,yes,no,1,5.3,96.11,-1,-0.0229,no,no,no,no,no,171,2
110,yes,no,1,4.08,31.24,-1,-0.0039,no,no,no,no,no,171,3
110,yes,yes,1,4.08,31.24,-1,-0.005,no,no,no,no,no,171,3
110,yes,no,1,5.18,33.93,-1,-0.0027,no,no,no,no,no,171,3
110,yes,no,1,5.18,33.93,-1,-0.003,no,no,no,no,no,171,3
110,yes,no,1,5.52,32.37,-1,-0.0133,no,no,no,no,no,171,2
110,yes,no,1,5.52,32.37,-1,-0.0129,no,no,no,no,no,171,2
110,yes,no,1,4.65,45.39,-1,-0.0033,no,no,no,no,no,171,3
110,yes,no,1,4.65,45.39,-1,-0.003,no,no,no,no,no,171,3
110,yes,no,1,5.92,27.89,-1,-0.0101,no,no,no,no,no,171,3
110,yes,no,1,5.92,27.89,-1,-0.0103,no,no,no,no,no,171,3
110,yes,no,1,5.4,112.14,-1,-0.0251,no,no,no,no,no,171,4
110,yes,no,1,5.4,112.14,-1,-0.0297,no,no,no,no,no,171,4
110,yes,no,1,5.93,128.75,-1,-0.0279,no,no,no,no,no,171,4
110,yes,no,1,5.93,128.75,-1,-0.0481,no,no,no,no,no,171,4
110,yes,no,1,5.88,16.6,-1,-0.0058,no,no,no,no,no,171,3
110,yes,no,1,5.88,16.6,-1,-0.006,no,no,no,no,no,171,3
110,yes,no,1,4.91,44.53,-1,-0.0122,no,no,no,no,no,171,4
110,yes,no,1,4.91,44.53,-1,-0.0115,no,no,no,no,no,171,4
110,yes,no,2,5.93,128.75,-1,-0.0252,no,no,no,no,no,171,4
110,yes,no,2,5.93,128.75,-1,-0.0265,no,no,no,no,no,171,4
110,yes,no,2,4.91,44.53,-1,-0.0109,no,no,no,no,no,171,4
110,yes,no,2,4.91,44.53,-1,-0.0109,no,no,no,no,no,171,3
110,yes,no,2,5.69,64.03,-1,-0.0128,no,no,no,no,no,171,3
110,yes,no,2,5.69,64.03,-1,-0.0124,no,no,no,no,no,171,4
110,yes,no,2,6.62,17.76,-1,-0.0057,no,no,no,no,no,171,3
110,yes,no,2,6.62,17.76,-1,-0.0056,no,no,no,no,no,171,3
110,yes,no,2,5.69,36.59,-1,-0.0105,no,no,no,no,no,171,3
110,yes,no,2,5.69,36.59,-1,-0.0105,no,no,no,no,no,171,3
110,yes,no,2,5.56,41.81,-1,-0.0112,no,no,no,no,no,171,3
110,yes,yes,2,5.56,41.81,-1,-0.0121,no,no,no,no,no,171,1
90,yes,no,2,5.88,16.6,-1,-0.004,no,no,no,no,no,171,3
90,yes,no,2,5.88,16.6,-1,-0.0044,no,no,no,no,no,171,3
90,yes,no,2,5.88,16.6,-1,-0.0041,no,no,no,no,no,171,3
90,yes,no,2,5.88,16.6,-1,-0.004,no,no,no,no,no,171,3
90,yes,no,2,5.4,112.14,-1,-0.0216,no,no,no,no,no,171,4
90,yes,no,2,5.4,112.14,-1,-0.0169,no,no,no,no,no,171,4
90,yes,no,2,5.4,112.14,-1,-0.0168,no,no,no,no,no,171,4
90,yes,no,2,5.4,112.14,-1,-0.0186,no,no,no,no,no,171,4
90,yes,no,2,5.25,13.86,-1,-0.0044,no,no,no,no,no,171,3
90,yes,no,2,5.25,13.86,-1,-0.0039,no,no,no,no,no,171,3
90,yes,no,2,5.25,13.86,-1,-0.0043,no,no,no,no,no,171,3
90,yes,no,2,5.25,13.86,-1,-0.004,no,no,no,no,no,171,3
90,no,no,2,5.18,59.99,-1,-0.0031,no,no,no,no,no,171,3
90,no,no,2,5.69,64.03,-1,-0.0151,no,no,no,no,no,171,3
90,no,no,2,5.52,32.37,-1,-0.0119,no,no,no,no,no,171,3
90,no,no,2,5.88,16.6,-1,-0.0059,no,no,no,no,no,171,3
90,no,no,2,4.08,31.24,-1,-0.0046,no,no,no,no,no,171,4
90,no,no,2,4.08,31.24,-1,-0.0035,yes,no,no,no,no,171,4
90,yes,no,2,5.88,16.6,-1,-0.0057,no,no,no,no,no,171,4
90,yes,no,2,7.03,90.41,-1,-0.01,no,no,no,no,no,171,3
90,yes,no,2,5.18,33.93,-1,-0.0026,no,no,no,no,no,171,3
90,yes,no,2,5.69,64.03,-1,-0.0145,no,no,no,no,no,171,4
90,yes,no,2,4.08,31.24,-1,-0.0032,no,no,no,no,no,171,4
90,yes,no,2,5.52,32.37,-1,-0.0119,no,no,no,no,no,171,3
130,yes,no,2,5.25,13.86,-1,-0.0063,yes,no,no,no,no,171,4
130,yes,no,2,5.25,13.86,-1,-0.006,yes,no,no,no,no,171,2
130,yes,yes,2,5.25,13.86,-1,-0.0058,yes,no,no,no,no,171,1
130,yes,yes,2,5.25,13.86,-1,-0.0038,yes,no,no,no,no,171,1
130,yes,yes,2,5.25,13.86,-1,-0.0035,yes,no,no,no,no,171,1
130,yes,yes,2,5.25,13.86,-1,-0.0044,yes,no,no,no,no,171,1
105,yes,no,2,5.92,27.89,0,-0.0062,yes,no,no,no,no,171,4
105,yes,no,2,5.92,27.89,0,-0.0069,yes,no,no,no,no,171,4
105,yes,no,2,5.92,27.89,0,-0.0064,yes,no,no,no,no,171,4
105,yes,no,2,5.92,27.89,0,-0.0066,yes,no,no,no,no,171,4
105,yes,no,2,5.92,27.89,0,-0.0073,yes,no,no,no,no,171,4
105,yes,no,2,5.92,27.89,17.64,-0.0063,yes,no,no,no,no,171,4
90,?,no,2,5.18,33.93,-1,0,yes,no,no,no,no,171,4
90,?,no,2,5.18,33.93,-1,0,yes,no,no,no,no,171,4
90,?,no,2,4.08,30.99,-1,0,yes,no,no,no,no,171,4
90,?,no,2,4.08,30.99,-1,0,yes,no,no,no,no,171,3
90,?,no,2,5.69,64.03,-1,-0.0123,yes,no,no,no,no,171,4
