@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R4-5,7,10,13,15-16,20,25,27,33-35,44,49,71,100,170,174,180,185,188,228,239,258,261,274'

@attribute pH numeric
@attribute leak {yes,no}
@attribute numberOrg numeric
@attribute orgavgpolMax numeric
@attribute orgmaximalprojectionradiusMax numeric
@attribute orgminimalprojectionareaMax numeric
@attribute orgminimalprojectionradiusMax numeric
@attribute orgvanderwaalsMax numeric
@attribute orgASA_PMax numeric
@attribute orghbdamsaccMax numeric
@attribute orgmaximalprojectionsizeMin numeric
@attribute orgminimalprojectionareaMin numeric
@attribute orgminimalprojectionradiusMin numeric
@attribute orgASA_PMin numeric
@attribute orgrefractivityArithAvg numeric
@attribute orgmaximalprojectionsizeGeomAvg numeric
@attribute oxlikeASA_HMax numeric
@attribute Te {yes,no}
@attribute F {yes,no}
@attribute S {yes,no}
@attribute Cl {yes,no}
@attribute Cr {yes,no}
@attribute PaulingElectronegMax numeric
@attribute EAMean numeric
@attribute PaulingElectronegMinWeighted numeric
@attribute AtomicRadiusMinWeighted numeric
@attribute outcome {1,2}

@data
2,no,1,12.65,3.56,27.24,3.36,211.8,17.76,0,6.62,27.24,3.36,17.76,34.07,6.62,-1,no,no,no,no,no,2.55,122.8,0.0017,0.1751,2
2,no,1,12.65,3.56,27.24,3.36,211.8,17.76,0,6.62,27.24,3.36,17.76,34.07,6.62,-1,no,no,no,no,no,2.55,122.8,0.0009,0.0917,2
2,no,1,12.65,3.56,27.24,3.36,211.8,17.76,0,6.62,27.24,3.36,17.76,34.07,6.62,-1,no,no,no,no,no,2.55,122.8,0.0017,0.1805,2
1,no,1,12.65,3.56,27.24,3.36,211.8,17.76,0,6.62,27.24,3.36,17.76,34.07,6.62,-1,no,no,no,no,no,2.55,122.8,0.0017,0.179,2
2,no,1,7.08,3.87,17.02,2.6,207.08,96.11,0,5.3,17.02,2.6,96.11,17.87,5.3,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1681,2
2,no,1,7.08,3.87,17.02,2.6,207.08,96.11,0,5.3,17.02,2.6,96.11,17.87,5.3,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1639,2
2,no,1,7.08,3.87,17.02,2.6,207.08,96.11,0,5.3,17.02,2.6,96.11,17.87,5.3,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1637,2
2,no,1,7.08,3.87,17.02,2.6,207.08,96.11,0,5.3,17.02,2.6,96.11,17.87,5.3,-1,no,no,no,no,no,1.63,50.6,0.0016,0.1718,1
2,no,1,7.08,3.87,17.02,2.6,207.08,96.11,0,5.3,17.02,2.6,96.11,17.87,5.3,-1,no,no,no,no,no,1.63,50.6,0.0016,0.171,1
2,yes,1,13.33,4.77,23.42,3.62,294.5,31.24,1.12,4.08,23.42,3.62,31.24,37.45,4.08,-1,no,no,no,no,no,1.63,50.6,0.0016,0.1721,2
2,no,1,9.73,4.05,20.35,3.12,281.27,33.93,1.27,5.18,20.35,3.12,33.93,26.34,5.18,-1,no,no,no,no,no,1.63,50.6,0.0016,0.1712,2
2,no,1,13.88,4.66,25.55,3.42,258.23,32.37,0,5.52,25.55,3.42,32.37,34.29,5.52,-1,no,no,no,no,no,1.63,50.6,0.0017,0.1754,1
2,no,1,11.87,4.38,22.58,3.38,310.74,45.39,1.07,4.65,22.58,3.38,45.39,30.93,4.65,-1,no,no,no,no,no,1.63,50.6,0.0016,0.1683,2
2,no,1,11.87,4.38,22.58,3.38,310.74,45.39,1.07,4.65,22.58,3.38,45.39,30.93,4.65,-1,no,no,no,no,no,1.63,50.6,0.0016,0.1671,2
2,no,1,11.97,4.12,25.5,3.41,238.74,27.89,0,5.92,25.5,3.41,27.89,30.74,5.92,-1,no,no,no,no,no,1.63,50.6,0.0016,0.1694,2
2,no,1,12.56,5.74,21.83,2.92,282.76,112.14,0,5.4,21.83,2.92,112.14,30.59,5.4,-1,no,no,no,no,no,1.63,50.6,0.0017,0.1772,2
2,no,1,12.56,5.74,21.83,2.92,282.76,112.14,0,5.4,21.83,2.92,112.14,30.59,5.4,-1,no,no,no,no,no,1.63,50.6,0.0016,0.1675,2
2,no,1,18.04,6.48,28.27,3.44,353.93,128.75,0,5.93,28.27,3.44,128.75,43.32,5.93,-1,no,no,no,no,no,1.63,50.6,0.0016,0.1725,2
2,no,1,18.04,6.48,28.27,3.44,353.93,128.75,0,5.93,28.27,3.44,128.75,43.32,5.93,-1,no,no,no,no,no,1.63,50.6,0.0018,0.1911,2
2,no,1,14.87,5.19,28.56,3.83,340.09,16.6,0,5.88,28.56,3.83,16.6,38.01,5.88,-1,no,no,no,no,no,1.63,50.6,0.0016,0.1731,2
2,no,1,11.15,5.06,19.3,2.62,295.52,44.53,0,4.91,19.3,2.62,44.53,27.42,4.91,-1,no,no,no,no,no,1.63,50.6,0.0016,0.165,2
2,no,1,11.15,5.06,19.3,2.62,295.52,44.53,0,4.91,19.3,2.62,44.53,27.42,4.91,-1,no,no,no,no,no,1.63,50.6,0.0016,0.1712,2
2,no,1,18.04,6.48,28.27,3.44,353.93,128.75,0,5.93,28.27,3.44,128.75,43.32,5.93,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1713,2
2,no,1,18.04,6.48,28.27,3.44,353.93,128.75,0,5.93,28.27,3.44,128.75,43.32,5.93,-1,no,no,no,no,no,2.55,122.8,0.0017,0.1766,2
2,no,1,11.15,5.06,19.3,2.62,295.52,44.53,0,4.91,19.3,2.62,44.53,27.42,4.91,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1719,2
2,no,1,9.94,3.84,23.28,3.21,206.42,64.03,0,5.69,23.28,3.21,64.03,25.21,5.69,-1,no,no,no,yes,no,2.55,122.8,0.0018,0.184,2
2,no,1,12.65,3.56,27.24,3.36,211.8,17.76,0,6.62,27.24,3.36,17.76,34.07,6.62,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1685,2
2,no,1,12.65,3.56,27.24,3.36,211.8,17.76,0,6.62,27.24,3.36,17.76,34.07,6.62,-1,no,no,no,no,no,2.55,122.8,0.0017,0.1745,2
2,no,1,9.88,3.6,23.12,3.57,203.38,41.81,0,5.56,23.12,3.57,41.81,25.45,5.56,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1716,2
2,yes,1,9.88,3.6,23.12,3.57,203.38,41.81,0,5.56,23.12,3.57,41.81,25.45,5.56,-1,no,no,no,no,no,2.55,122.8,0.0017,0.1747,1
2,no,1,14.87,5.19,28.56,3.83,340.09,16.6,0,5.88,28.56,3.83,16.6,38.01,5.88,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1674,2
2,no,1,12.56,5.74,21.83,2.92,282.76,112.14,0,5.4,21.83,2.92,112.14,30.59,5.4,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1707,2
2,no,1,12.56,5.74,21.83,2.92,282.76,112.14,0,5.4,21.83,2.92,112.14,30.59,5.4,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1696,2
2,no,1,12.56,5.74,21.83,2.92,282.76,112.14,0,5.4,21.83,2.92,112.14,30.59,5.4,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1647,2
2,no,1,12.56,5.74,21.83,2.92,282.76,112.14,0,5.4,21.83,2.92,112.14,30.59,5.4,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1719,2
2,no,1,14.02,4.69,26.44,3.33,275.81,13.86,0.01,5.25,26.44,3.33,13.86,36.04,5.25,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1728,2
2,no,1,14.02,4.69,26.44,3.33,275.81,13.86,0.01,5.25,26.44,3.33,13.86,36.04,5.25,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1685,2
2,no,1,14.02,4.69,26.44,3.33,275.81,13.86,0.01,5.25,26.44,3.33,13.86,36.04,5.25,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1726,2
1,no,1,9.73,4.05,20.35,3.12,273.23,59.99,1.03,5.18,20.35,3.12,59.99,26.34,5.18,-1,no,no,no,no,no,2.55,122.8,0.0016,0.1728,2
1,no,1,9.94,3.84,23.28,3.21,206.42,64.03,0,5.69,23.28,3.21,64.03,25.21,5.69,-1,no,no,no,yes,no,2.55,122.8,0.0016,0.1719,2
1,no,1,13.88,4.66,25.55,3.42,258.23,32.37,0,5.52,25.55,3.42,32.37,34.29,5.52,-1,no,no,no,no,no,2.55,122.8,0.0017,0.1756,2
1,no,1,13.33,4.77,23.42,3.62,294.5,31.24,1,4.08,23.42,3.62,31.24,37.45,4.08,-1,no,no,no,no,no,2.55,122.8,0.0017,0.1745,2
1,no,1,13.33,4.77,23.42,3.62,294.5,31.24,1,4.08,23.42,3.62,31.24,37.45,4.08,-1,no,no,no,no,no,2.55,122.8,0.0019,0.2029,2
