@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R5,16,25,32,80,170,172,174,180,230,274'

@attribute leak {yes,no}
@attribute orgminimalprojectionradiusMax numeric
@attribute orgASA_PMax numeric
@attribute orgmaximalprojectionradiusMin numeric
@attribute orgASA-GeomAvg numeric
@attribute Te {yes,no}
@attribute K {yes,no}
@attribute F {yes,no}
@attribute S {yes,no}
@attribute hardnessMax numeric
@attribute outcome {1,2,3,4}

@data
no,3.36,17.76,3.56,0,no,no,no,no,373,3
no,3.36,17.76,3.56,0,no,no,no,no,373,3
no,3.36,17.76,3.56,0,no,no,no,no,373,3
no,3.36,17.76,3.56,0,no,no,no,no,373,3
no,3.36,17.76,3.56,0,no,no,no,no,373,4
no,3.36,17.76,3.56,0,no,no,no,no,373,3
no,2.6,96.11,3.87,17.75,no,no,no,no,373,3
no,2.6,96.11,3.87,17.75,no,no,no,no,373,3
no,2.6,96.11,3.87,17.75,no,no,no,no,373,3
no,2.6,96.11,3.87,17.75,no,no,no,no,373,3
no,2.6,96.11,3.87,17.75,no,no,no,no,300.1,2
no,2.6,96.11,3.87,17.75,no,no,no,no,300.1,2
no,3.62,31.24,4.77,25.88,no,no,no,no,300.1,3
yes,3.62,31.24,4.77,25.88,no,no,no,no,300.1,3
no,3.12,33.93,4.05,64.97,no,no,no,no,300.1,3
no,3.12,33.93,4.05,64.97,no,no,no,no,300.1,3
no,3.42,32.37,4.66,35.85,no,no,no,no,300.1,2
no,3.42,32.37,4.66,35.85,no,no,no,no,300.1,2
no,3.38,45.39,4.38,23.68,no,no,no,no,300.1,3
no,3.38,45.39,4.38,23.68,no,no,no,no,300.1,3
no,3.41,27.89,4.12,18.24,no,no,no,no,300.1,3
no,3.41,27.89,4.12,18.24,no,no,no,no,300.1,3
no,2.92,112.14,5.74,17.11,no,no,no,no,300.1,4
no,2.92,112.14,5.74,17.11,no,no,no,no,300.1,4
no,3.44,128.75,6.48,16.81,no,no,no,no,300.1,4
no,3.44,128.75,6.48,16.81,no,no,no,no,300.1,4
no,3.83,16.6,5.19,72.8,no,no,no,no,300.1,3
no,3.83,16.6,5.19,72.8,no,no,no,no,300.1,3
no,2.62,44.53,5.06,51.26,no,no,no,no,300.1,4
no,2.62,44.53,5.06,51.26,no,no,no,no,300.1,4
no,3.44,128.75,6.48,16.81,no,no,no,no,373,4
no,3.44,128.75,6.48,16.81,no,no,no,no,373,4
no,2.62,44.53,5.06,51.26,no,no,no,no,373,4
no,2.62,44.53,5.06,51.26,no,no,no,no,373,3
no,3.21,64.03,3.84,17.71,no,no,no,no,373,3
no,3.21,64.03,3.84,17.71,no,no,no,no,373,4
no,3.36,17.76,3.56,0,no,no,no,no,373,3
no,3.36,17.76,3.56,0,no,no,no,no,373,3
no,3.62,36.59,3.76,16.46,no,no,no,no,373,3
no,3.62,36.59,3.76,16.46,no,no,no,no,373,3
no,3.57,41.81,3.6,0,no,no,no,no,373,3
yes,3.57,41.81,3.6,0,no,no,no,no,373,1
no,3.83,16.6,5.19,72.8,no,no,no,no,373,3
no,3.83,16.6,5.19,72.8,no,no,no,no,373,3
no,3.83,16.6,5.19,72.8,no,no,no,no,373,3
no,3.83,16.6,5.19,72.8,no,no,no,no,373,3
no,2.92,112.14,5.74,17.11,no,no,no,no,373,4
no,2.92,112.14,5.74,17.11,no,no,no,no,373,4
no,2.92,112.14,5.74,17.11,no,no,no,no,373,4
no,2.92,112.14,5.74,17.11,no,no,no,no,373,4
no,3.33,13.86,4.69,36.51,no,no,no,no,373,3
no,3.33,13.86,4.69,36.51,no,no,no,no,373,3
no,3.33,13.86,4.69,36.51,no,no,no,no,373,3
no,3.33,13.86,4.69,36.51,no,no,no,no,373,3
no,3.12,59.99,4.05,28.58,no,no,no,no,373,3
no,3.21,64.03,3.84,17.71,no,no,no,no,373,3
no,3.42,32.37,4.66,35.85,no,no,no,no,373,3
no,3.83,16.6,5.19,72.8,no,no,no,no,373,3
no,3.62,31.24,4.77,25.88,no,no,no,no,373,4
no,3.62,31.24,4.77,25.88,no,no,no,no,373,4
no,3.83,16.6,5.19,72.8,no,no,no,no,373,4
no,3.55,90.41,3.57,3.71,no,no,no,no,373,3
no,3.12,33.93,4.05,64.97,no,no,no,no,373,3
no,3.21,64.03,3.84,17.71,no,no,no,no,373,4
no,3.62,31.24,4.77,25.88,no,no,no,no,373,4
no,3.42,32.37,4.66,35.85,no,no,no,no,373,3
no,3.33,13.86,4.69,36.51,no,no,no,no,373,4
no,3.33,13.86,4.69,36.51,no,no,no,no,373,2
yes,3.33,13.86,4.69,36.51,no,no,no,no,373,1
yes,3.33,13.86,4.69,36.51,no,no,no,no,373,1
yes,3.33,13.86,4.69,36.51,no,no,no,no,373,1
yes,3.33,13.86,4.69,36.51,no,no,no,no,373,1
no,3.41,27.89,4.12,18.24,no,no,no,no,373,4
no,3.41,27.89,4.12,18.24,no,no,no,no,373,4
no,3.41,27.89,4.12,18.24,no,no,no,no,373,4
no,3.41,27.89,4.12,18.24,no,no,no,no,373,4
no,3.41,27.89,4.12,18.24,no,no,no,no,373,4
no,3.41,27.89,4.12,18.24,no,no,no,no,373,4
no,3.12,33.93,4.05,64.97,no,no,no,no,373,4
no,3.12,33.93,4.05,64.97,no,no,no,no,373,4
no,3.62,30.99,4.77,86.74,no,no,no,no,373,4
no,3.62,30.99,4.77,86.74,no,no,no,no,373,3
no,3.21,64.03,3.84,17.71,no,no,no,no,373,4
no,3.21,64.03,3.84,17.71,no,no,no,no,373,4
no,3.83,16.6,5.19,72.8,no,no,no,no,373,4
no,3.83,16.6,5.19,72.8,no,no,no,no,373,3
no,3.42,32.37,4.66,35.85,no,no,no,no,373,2
no,3.42,32.37,4.66,35.85,no,no,no,no,373,2
no,3.06,0,3.66,106.35,no,no,no,no,373,2
no,3.06,0,3.66,106.35,no,no,no,no,373,2
no,3.12,33.93,4.05,64.97,no,no,no,no,373,4
no,3.12,33.93,4.05,64.97,no,no,no,no,373,4
no,3.62,30.99,4.77,86.74,no,no,no,no,373,4
no,3.62,30.99,4.77,86.74,no,no,no,no,373,3
no,3.21,64.03,3.84,17.71,no,no,no,no,373,4
no,3.21,64.03,3.84,17.71,no,no,no,no,373,4
no,3.83,16.6,5.19,72.8,no,no,no,no,373,4
no,3.83,16.6,5.19,72.8,no,no,no,no,373,4
no,3.33,13.86,4.69,36.51,no,no,no,no,373,4
no,3.33,13.86,4.69,36.51,no,no,no,no,373,4
no,3.83,16.6,5.19,72.8,no,no,no,no,373,3
no,3.83,16.6,5.19,72.8,no,no,no,no,373,3
no,3.83,16.6,5.19,72.8,no,no,no,no,373,3
no,3.83,16.6,5.19,72.8,no,no,no,no,373,3
no,3.83,16.6,5.19,72.8,no,no,no,no,373,4
no,2.92,112.14,5.74,17.11,no,no,no,no,373,3
no,2.92,112.14,5.74,17.11,no,no,no,no,373,3
no,2.92,112.14,5.74,17.11,no,no,no,no,373,3
no,2.92,112.14,5.74,17.11,no,no,no,no,373,4
no,2.92,112.14,5.74,17.11,no,no,no,no,373,4
no,3.18,64.07,3.89,17.68,no,no,no,no,373,4
no,3.16,58.29,3.74,16.17,no,no,no,no,373,3
no,3.21,64.03,3.84,17.71,no,no,no,no,373,4
no,3.21,64.03,3.84,17.71,no,no,no,no,373,4
no,3.43,36.99,4.18,17.89,no,no,no,no,373,4
no,3.43,36.99,4.18,17.89,no,no,no,no,373,4
