@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R5,25,60,164,172,175,180,241,274'

@attribute leak {yes,no}
@attribute orgASA_PMax numeric
@attribute orgASA+ArithAvg numeric
@attribute orgacc-waterdonratio numeric
@attribute K {yes,no}
@attribute I {yes,no}
@attribute S {yes,no}
@attribute PearsonElectronegMean numeric
@attribute outcome {1,2}

@data
no,17.76,211.8,0,no,no,no,459.35,2
no,17.76,211.8,0,no,no,no,459.35,2
no,17.76,211.8,0,no,no,no,459.35,2
no,17.76,211.8,0,no,no,no,459.35,2
no,96.11,189.33,0,no,no,no,459.35,2
no,96.11,189.33,0,no,no,no,459.35,2
no,96.11,189.33,0,no,no,no,459.35,2
no,96.11,189.33,0,no,no,no,350.7,1
no,96.11,189.33,0,no,no,no,350.7,1
yes,31.24,268.62,-0.0064,no,no,no,350.7,2
no,33.93,216.3,-0.0048,no,no,no,350.7,2
no,32.37,222.38,0,no,no,no,350.7,1
no,45.39,287.07,-0.0037,no,no,no,350.7,2
no,45.39,287.07,-0.0034,no,no,no,350.7,2
no,27.89,220.5,0,no,no,no,350.7,2
no,112.14,265.65,0,no,no,no,350.7,2
no,112.14,265.65,0,no,no,no,350.7,2
no,128.75,337.12,0,no,no,no,350.7,2
no,128.75,337.12,0,no,no,no,350.7,2
no,16.6,267.29,0,no,no,no,350.7,2
no,44.53,244.26,0,no,no,no,350.7,2
no,44.53,244.26,0,no,no,no,350.7,2
no,128.75,337.12,0,no,no,no,459.35,2
no,128.75,337.12,0,no,no,no,459.35,2
no,44.53,244.26,0,no,no,no,459.35,2
no,64.03,188.71,0,no,no,no,459.35,2
no,17.76,211.8,0,no,no,no,459.35,2
no,17.76,211.8,0,no,no,no,459.35,2
no,41.81,203.38,0,no,no,no,459.35,2
yes,41.81,203.38,0,no,no,no,459.35,1
no,16.6,267.29,0,no,no,no,459.35,2
no,112.14,265.65,0,no,no,no,459.35,2
no,112.14,265.65,0,no,no,no,459.35,2
no,112.14,265.65,0,no,no,no,459.35,2
no,112.14,265.65,0,no,no,no,459.35,2
no,13.86,239.3,0,no,no,no,459.35,2
no,13.86,239.3,0,no,no,no,459.35,2
no,13.86,239.3,0,no,no,no,459.35,2
no,59.99,244.65,-0.0033,no,no,no,459.35,2
no,64.03,188.71,0,no,no,no,459.35,2
no,32.37,222.38,0,no,no,no,459.35,2
no,31.24,268.62,-0.0046,no,no,no,459.35,2
no,31.24,268.62,-0.0035,no,no,no,459.35,2
no,16.6,267.29,0,no,no,no,459.35,2
no,33.93,216.3,-0.0045,no,no,no,459.35,2
no,31.24,268.62,-0.0041,no,no,no,459.35,2
no,32.37,222.38,0,no,no,no,459.35,2
no,13.86,239.3,-0.0002,no,no,no,459.35,2
no,13.86,239.3,0,no,no,no,459.35,1
yes,13.86,239.3,0,no,no,no,459.35,1
yes,13.86,239.3,-0.0001,no,no,no,459.35,1
yes,13.86,239.3,0,no,no,no,459.35,1
no,27.89,220.5,0,no,no,no,459.35,2
no,27.89,220.5,0,no,no,no,459.35,2
no,27.89,220.5,0,no,no,no,459.35,2
no,30.99,211.47,-0.0068,no,no,no,459.35,2
no,64.03,188.71,0,no,no,no,459.35,2
no,64.03,188.71,0,no,no,no,459.35,2
no,16.6,267.29,-0.0001,no,no,no,459.35,2
no,32.37,222.38,-0.0001,no,no,no,459.35,1
no,0,132.96,0,no,no,no,459.35,1
no,33.93,216.3,-0.0058,no,no,no,459.35,2
no,33.93,216.3,-0.0051,no,no,no,459.35,2
no,30.99,211.47,-0.0071,no,no,no,459.35,2
no,30.99,211.47,-0.0114,no,no,no,459.35,2
no,64.03,188.71,0,no,no,no,459.35,2
no,16.6,267.29,-0.0001,no,no,no,459.35,2
no,13.86,239.3,-0.0002,no,no,no,459.35,2
no,16.6,267.29,0,no,no,no,459.35,2
no,16.6,267.29,0,no,no,no,459.35,2
no,16.6,267.29,0,no,no,no,459.35,2
no,16.6,267.29,0,no,no,no,459.35,2
no,112.14,265.65,0,no,no,no,459.35,2
no,112.14,265.65,0,no,no,no,459.35,2
no,112.14,265.65,0,no,no,no,459.35,2
no,64.07,188.82,0,no,no,no,459.35,2
no,64.03,188.71,0,no,no,no,459.35,2
no,64.03,188.71,0,no,no,no,459.35,2
no,36.99,211.13,0,no,no,no,459.35,2
