@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R1-3,5,9,14,24,33,39,94-95,101,170-172,174,178-180,183,185,224,256,259-260,274'

@attribute Temp_max numeric
@attribute time numeric
@attribute slowCool {yes,no}
@attribute leak {yes,no}
@attribute numberComponents numeric
@attribute orgmaximalprojectionsizeMax numeric
@attribute orgASA_HMax numeric
@attribute orgmaximalprojectionsizeMin numeric
@attribute orgvanderwaalsMin numeric
@attribute oxlikeavgpol_pHdependentMax numeric
@attribute oxlikemolpolMax numeric
@attribute oxlikeASA_PMax numeric
@attribute Te {yes,no}
@attribute Br {yes,no}
@attribute K {yes,no}
@attribute F {yes,no}
@attribute N {yes,no}
@attribute P {yes,no}
@attribute S {yes,no}
@attribute Zn {yes,no}
@attribute Cl {yes,no}
@attribute V6 {yes,no}
@attribute IonizationMinWeighted numeric
@attribute PearsonElectronegMinWeighted numeric
@attribute hardnessMinWeighted numeric
@attribute outcome {1,2,3,4}

@data
90,48,yes,no,3,6.62,194.04,6.62,211.8,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6666,0.3592,0.3073,3
90,48,yes,no,3,6.62,194.04,6.62,211.8,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6532,0.352,0.3012,3
90,48,yes,no,3,6.62,194.04,6.62,211.8,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.3489,0.188,0.1609,3
90,48,yes,no,3,6.62,194.04,6.62,211.8,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.345,0.1859,0.1591,3
90,48,yes,no,3,6.62,194.04,6.62,211.8,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6871,0.3702,0.3168,4
90,48,yes,no,3,6.62,194.04,6.62,211.8,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6814,0.3671,0.3142,3
90,48,yes,no,3,5.3,110.98,5.3,207.08,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6399,0.3448,0.295,3
90,48,yes,no,3,5.3,110.98,5.3,207.08,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6238,0.3361,0.2876,3
90,48,yes,no,3,5.3,110.98,5.3,207.08,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6549,0.3529,0.302,3
90,48,yes,no,3,5.3,110.98,5.3,207.08,-1,-1,-1,no,no,no,no,yes,no,no,no,no,yes,0.6232,0.3358,0.2873,3
110,48,yes,no,2,5.3,110.98,5.3,207.08,-1,-1,-1,no,no,no,no,yes,no,no,no,no,no,0.6538,0.3523,0.3014,2
110,48,yes,no,2,5.3,110.98,5.3,207.08,-1,-1,-1,no,no,no,no,yes,no,no,no,no,no,0.651,0.3508,0.3002,2
110,48,yes,no,2,4.08,263.26,4.08,294.5,-1,-1,-1,no,no,no,no,yes,no,no,no,no,no,0.6627,0.3571,0.3055,3
110,48,yes,yes,2,4.08,263.26,4.08,294.5,-1,-1,-1,no,no,no,no,yes,no,no,no,no,no,0.6549,0.3529,0.302,3
110,48,yes,no,2,5.18,247.34,5.18,281.27,-1,-1,-1,no,no,no,no,yes,no,no,no,no,no,0.6516,0.3511,0.3004,3
110,48,yes,no,2,5.18,247.34,5.18,281.27,-1,-1,-1,no,no,no,no,yes,no,no,no,no,no,0.636,0.3427,0.2932,3
110,48,yes,no,2,5.52,225.86,5.52,258.23,-1,-1,-1,no,no,no,no,yes,no,no,no,no,no,0.6677,0.3598,0.3079,2
110,48,yes,no,2,5.52,225.86,5.52,258.23,-1,-1,-1,no,no,no,no,yes,no,no,no,no,no,0.6249,0.3367,0.2881,2
110,48,yes,no,2,4.65,265.36,4.65,310.74,-1,-1,-1,no,no,no,no,yes,no,no,no,no,no,0.6404,0.3451,0.2953,3
110,48,yes,no,2,4.65,265.36,4.65,310.74,-1,-1,-1,no,no,no,no,yes,no,no,no,no,no,0.636,0.3427,0.2932,3
110,48,yes,no,2,5.92,210.85,5.92,238.74,-1,-1,-1,no,no,no,no,yes,no,no,no,no,no,0.6688,0.3604,0.3084,3
110,48,yes,no,2,5.92,210.85,5.92,238.74,-1,-1,-1,no,no,no,no,yes,no,no,no,no,no,0.6449,0.3475,0.2973,3
110,48,yes,no,2,5.4,170.62,5.4,282.76,-1,-1,-1,no,no,no,no,yes,no,no,no,no,no,0.6744,0.3634,0.3109,4
110,48,yes,no,2,5.4,170.62,5.4,282.76,-1,-1,-1,no,no,no,no,yes,no,no,no,no,no,0.6377,0.3436,0.294,4
110,48,yes,no,2,5.93,225.18,5.93,353.93,-1,-1,-1,no,no,no,no,yes,no,no,no,no,no,0.6566,0.3538,0.3027,4
