@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R3-5,7-8,13,17,43,74,85,168,170-172,174,179-180,188,228,232,250,256,269,274'

@attribute slowCool {yes,no}
@attribute pH numeric
@attribute leak {yes,no}
@attribute numberOrg numeric
@attribute numberOxlike numeric
@attribute orgmaximalprojectionradiusMax numeric
@attribute orgminimalprojectionsizeMax numeric
@attribute orgASA_HMin numeric
@attribute orgminimalprojectionsizeGeomAvg numeric
@attribute orghbdamsdonGeomAvg numeric
@attribute Na {yes,no}
@attribute Te {yes,no}
@attribute Br {yes,no}
@attribute K {yes,no}
@attribute F {yes,no}
@attribute P {yes,no}
@attribute S {yes,no}
@attribute Cr {yes,no}
@attribute PaulingElectronegMax numeric
@attribute IonizationMin numeric
@attribute IonizationMaxWeighted numeric
@attribute IonizationMinWeighted numeric
@attribute EAGeomWeighted numeric
@attribute outcome {1,2,3,4}

@data
yes,2,no,1,0,3.56,6.58,194.04,6.58,2,no,no,no,no,no,no,no,no,2.55,650.9,5.7515,0.6666,0.2485,3
yes,2,no,1,0,3.56,6.58,194.04,6.58,2,no,no,no,no,no,no,no,no,2.55,650.9,5.7803,0.6532,0.2466,3
yes,2,no,1,0,3.56,6.58,194.04,6.58,2,no,no,no,no,no,no,no,no,2.55,650.9,5.8329,0.3489,0.1811,3
yes,1,no,1,0,3.56,6.58,194.04,6.58,2,no,no,no,no,no,no,no,no,2.55,650.9,5.4564,0.345,0.1741,3
yes,2,no,1,0,3.56,6.58,194.04,6.58,2,no,no,no,no,no,no,no,no,2.55,650.9,5.5734,0.6871,0.2484,4
yes,1,no,1,0,3.56,6.58,194.04,6.58,2,no,no,no,no,no,no,no,no,2.55,650.9,5.8957,0.6814,0.2544,3
yes,2,no,1,0,3.87,7.5,110.98,7.5,6,no,no,no,no,no,no,no,no,2.55,650.9,9.4431,0.6399,0.312,3
yes,2,no,1,0,3.87,7.5,110.98,7.5,6,no,no,no,no,no,no,no,no,2.55,650.9,9.9697,0.6238,0.3165,3
yes,2,no,1,0,3.87,7.5,110.98,7.5,6,no,no,no,no,no,no,no,no,2.55,650.9,10.1241,0.6549,0.3268,3
yes,2,no,1,0,3.87,7.5,110.98,7.5,6,no,no,no,no,no,no,no,no,2.55,650.9,6.7759,0.6232,0.2608,3
yes,2,no,1,0,3.87,7.5,110.98,7.5,6,no,no,no,no,no,no,no,no,1.63,650.9,0.6538,0.6538,0.0508,2
yes,2,no,1,0,3.87,7.5,110.98,7.5,6,no,no,no,no,no,no,no,no,1.63,650.9,0.651,0.651,0.0506,2
yes,2,no,1,0,4.77,9.5,263.26,9.5,0.88,no,no,no,no,no,no,no,no,1.63,650.9,0.6627,0.6627,0.0515,3
yes,2,yes,1,0,4.77,9.5,263.26,9.5,0.88,no,no,no,no,no,no,no,no,1.63,650.9,0.6549,0.6549,0.0509,3
yes,2,no,1,0,4.05,7.98,247.34,7.98,0.73,no,no,no,no,no,no,no,no,1.63,650.9,0.6516,0.6516,0.0507,3
yes,2,no,1,0,4.05,7.98,247.34,7.98,0.73,no,no,no,no,no,no,no,no,1.63,650.9,0.636,0.636,0.0494,3
yes,2,no,1,0,4.66,9.43,225.86,9.43,4,no,no,no,no,no,no,no,no,1.63,650.9,0.6677,0.6677,0.0519,2
yes,2,no,1,0,4.66,9.43,225.86,9.43,4,no,no,no,no,no,no,no,no,1.63,650.9,0.6249,0.6249,0.0486,2
yes,2,no,1,0,4.38,8.74,265.36,8.74,0.93,no,no,no,no,no,no,no,no,1.63,650.9,0.6404,0.6404,0.0498,3
yes,2,no,1,0,4.38,8.74,265.36,8.74,0.93,no,no,no,no,no,no,no,no,1.63,650.9,0.636,0.636,0.0494,3
yes,2,no,1,0,4.12,7.94,210.85,7.94,3,no,no,no,no,no,no,no,no,1.63,650.9,0.6688,0.6688,0.052,3
yes,2,no,1,0,4.12,7.94,210.85,7.94,3,no,no,no,no,no,no,no,no,1.63,650.9,0.6449,0.6449,0.0501,3
yes,2,no,1,0,5.74,11.24,170.62,11.24,8,no,no,no,no,no,no,no,no,1.63,650.9,0.6744,0.6744,0.0524,4
yes,2,no,1,0,5.74,11.24,170.62,11.24,8,no,no,no,no,no,no,no,no,1.63,650.9,0.6377,0.6377,0.0496,4
yes,2,no,1,0,6.48,13.1,225.18,13.1,10,no,no,no,no,no,no,no,no,1.63,650.9,0.6566,0.6566,0.051,4
yes,2,no,1,0,6.48,13.1,225.18,13.1,10,no,no,no,no,no,no,no,no,1.63,650.9,0.7273,0.7273,0.0565,4
yes,2,no,1,0,5.19,10.13,323.49,10.13,2,no,no,no,no,no,no,no,no,1.63,650.9,0.6772,0.6772,0.0526,3
yes,2,no,1,0,5.19,10.13,323.49,10.13,2,no,no,no,no,no,no,no,no,1.63,650.9,0.6588,0.6588,0.0512,3
yes,2,no,1,0,5.06,10.12,250.99,10.12,4,no,no,no,no,no,no,no,no,1.63,650.9,0.6282,0.6282,0.0488,4
yes,2,no,1,0,5.06,10.12,250.99,10.12,4,no,no,no,no,no,no,no,no,1.63,650.9,0.6516,0.6516,0.0507,4
yes,2,no,1,0,6.48,13.1,225.18,13.1,10,no,no,no,no,no,no,no,no,2.55,650.9,9.3125,0.6521,0.3128,4
yes,2,no,1,0,6.48,13.1,225.18,13.1,10,no,no,no,no,no,no,no,no,2.55,650.9,11.2961,0.6722,0.3497,4
yes,2,no,1,0,5.06,10.12,250.99,10.12,4,no,no,no,no,no,no,no,no,2.55,650.9,8.9902,0.6566,0.3084,4
yes,2,no,1,0,5.06,10.12,250.99,10.12,4,no,no,no,no,no,no,no,no,2.55,650.9,11.079,0.6544,0.3417,3
yes,2,no,1,0,3.84,7.39,142.39,7.39,5,no,no,no,no,no,no,no,no,2.55,650.9,8.5696,0.7005,0.311,3
yes,2,no,1,0,3.84,7.39,142.39,7.39,5,no,no,no,no,no,no,no,no,2.55,650.9,11.676,0.6455,0.3484,4
yes,2,no,1,0,3.56,6.58,194.04,6.58,2,no,no,no,no,no,no,no,no,2.55,650.9,11.5081,0.6416,0.3449,3
yes,2,no,1,0,3.56,6.58,194.04,6.58,2,no,no,no,no,no,no,no,no,2.55,650.9,8.5272,0.6644,0.3021,3
yes,2,no,1,0,3.76,7.43,173.72,7.43,4,no,no,no,no,no,no,no,no,2.55,650.9,8.3211,0.6521,0.2957,3
yes,2,no,1,0,3.76,7.43,173.72,7.43,4,no,no,no,no,no,no,no,no,2.55,650.9,11.2393,0.6594,0.3455,3
yes,2,no,1,0,3.6,6.77,161.57,6.77,4,no,no,no,no,no,no,no,no,2.55,650.9,9.025,0.6532,0.3082,3
yes,2,yes,1,0,3.6,6.77,161.57,6.77,4,no,no,no,no,no,no,no,no,2.55,650.9,13.3246,0.6649,0.3778,1
yes,2,no,1,0,5.19,10.13,323.49,10.13,2,no,no,no,no,no,no,no,no,2.55,650.9,3.8103,0.6599,0.2013,3
yes,2,no,1,0,5.19,10.13,323.49,10.13,2,no,no,no,no,no,no,no,no,2.55,650.9,5.5793,0.6371,0.2393,3
yes,2,no,1,0,5.19,10.13,323.49,10.13,2,no,no,no,no,no,no,no,no,2.55,650.9,10.1978,0.6455,0.3256,3
yes,2,no,1,0,5.19,10.13,323.49,10.13,2,no,no,no,no,no,no,no,no,2.55,650.9,11.2435,0.6733,0.3492,3
yes,2,no,1,0,5.74,11.24,170.62,11.24,8,no,no,no,no,no,no,no,no,2.55,650.9,5.9067,0.6499,0.2487,4
yes,2,no,1,0,5.74,11.24,170.62,11.24,8,no,no,no,no,no,no,no,no,2.55,650.9,4.0232,0.6455,0.2045,4
yes,2,no,1,0,5.74,11.24,170.62,11.24,8,no,no,no,no,no,no,no,no,2.55,650.9,9.4075,0.6271,0.3083,4
yes,2,no,1,0,5.74,11.24,170.62,11.24,8,no,no,no,no,no,no,no,no,2.55,650.9,11.5454,0.6544,0.3489,4
yes,2,no,1,0,4.69,9.35,261.95,9.35,1.99,no,no,no,no,no,no,no,no,2.55,650.9,3.7094,0.651,0.1972,3
yes,2,no,1,0,4.69,9.35,261.95,9.35,1.99,no,no,no,no,no,no,no,no,2.55,650.9,5.6964,0.6577,0.2457,3
yes,2,no,1,0,4.69,9.35,261.95,9.35,1.99,no,no,no,no,no,no,no,no,2.55,650.9,9.3549,0.6416,0.3109,3
yes,2,no,1,0,4.69,9.35,261.95,9.35,1.99,no,no,no,no,no,no,no,no,2.55,650.9,11.2333,0.6571,0.3448,3
no,1,no,1,0,4.05,7.98,213.24,7.98,0.97,no,no,no,no,no,no,no,no,2.55,650.9,6.4978,0.6578,0.2624,3
no,1,no,1,0,3.84,7.39,142.39,7.39,5,no,no,no,no,no,no,no,no,2.55,650.9,5.5319,0.6542,0.2415,3
no,1,no,1,0,4.66,9.43,225.86,9.43,4,no,no,no,no,no,no,no,no,2.55,650.9,5.5802,0.6685,0.2451,3
no,1,no,1,0,5.19,10.13,323.49,10.13,2,no,no,no,no,no,no,no,no,2.55,650.9,5.6184,0.6571,0.2439,3
no,1,no,1,0,4.77,9.5,263.26,9.5,1,no,no,no,no,no,no,no,no,2.55,650.9,5.6362,0.6642,0.2456,4
no,1,no,1,0,4.77,9.5,263.26,9.5,1,yes,no,no,no,no,no,no,no,2.55,650.9,3.4134,0.7725,0.2061,4
yes,2,no,1,0,5.19,10.13,323.49,10.13,2,no,no,no,no,no,no,no,no,2.55,650.9,5.5955,0.6592,0.2438,4
yes,2,no,1,0,3.57,6.77,110.13,6.77,3.22,no,no,no,no,no,no,no,no,2.55,650.9,5.9567,0.6642,0.2525,3
yes,2,no,1,0,4.05,7.98,247.34,7.98,0.73,no,no,no,no,no,no,no,no,2.55,650.9,6.5173,0.6542,0.2621,3
yes,2,no,1,0,3.84,7.39,142.39,7.39,5,no,no,no,no,no,no,no,no,2.55,650.9,5.5802,0.7093,0.2525,4
yes,2,no,1,0,4.77,9.5,263.26,9.5,0.88,no,no,no,no,no,no,no,no,2.55,650.9,6.2739,0.7107,0.268,4
yes,2,no,1,0,4.66,9.43,225.86,9.43,4,no,no,no,no,no,no,no,no,2.55,650.9,5.6294,0.6878,0.2498,3
yes,3,no,1,0,4.69,9.35,261.95,9.35,1.93,yes,no,no,no,no,no,no,no,2.55,650.9,5.944,0.6678,0.2529,4
yes,2,no,1,0,4.69,9.35,261.95,9.35,1.99,yes,no,no,no,no,no,no,no,2.55,650.9,4.928,0.6684,0.2303,2
yes,2,yes,1,0,4.69,9.35,261.95,9.35,1.99,yes,no,no,no,no,no,no,no,2.55,650.9,5.5107,0.6411,0.2386,1
yes,3,yes,1,0,4.69,9.35,261.95,9.35,1.93,yes,no,no,no,no,no,no,no,2.55,650.9,5.7922,0.6518,0.2466,1
yes,3,yes,1,0,4.69,9.35,261.95,9.35,1.93,yes,no,no,no,no,no,no,no,2.55,650.9,5.3885,0.6774,0.2425,1
yes,2,yes,1,0,4.69,9.35,261.95,9.35,1.99,yes,no,no,no,no,no,no,no,2.55,650.9,5.369,0.6636,0.2396,1
yes,2,no,1,1,4.12,7.94,210.85,7.94,3,yes,no,no,no,no,no,no,no,2.55,650.9,3.8646,0.6599,0.2027,4
yes,2,no,1,1,4.12,7.94,210.85,7.94,3,yes,no,no,no,no,no,no,no,2.55,650.9,3.7874,0.661,0.2008,4
yes,1,no,1,1,4.12,7.94,210.85,7.94,3,yes,no,no,no,no,no,no,no,2.55,650.9,3.9316,0.7089,0.2119,4
yes,1,no,1,1,4.12,7.94,210.85,7.94,3,yes,no,no,no,no,no,no,no,2.55,650.9,2.941,0.6571,0.1764,4
yes,3,no,1,1,4.12,7.94,210.85,7.94,3,yes,no,no,no,no,no,no,no,2.55,650.9,3.812,0.651,0.1999,4
yes,4,no,1,1,4.12,7.94,210.85,7.94,2.99,yes,no,no,no,no,no,no,no,2.55,650.9,2.897,0.7389,0.1857,4
?,5,no,1,0,4.05,7.98,247.34,7.98,0,yes,no,no,no,no,no,no,no,2.55,650.9,3.4134,0.7975,0.2094,4
?,5,no,1,0,4.05,7.98,247.34,7.98,0,yes,no,no,no,no,no,no,no,2.55,650.9,1.4366,0.773,0.1338,4
