@relation 'rec_system-weka.filters.unsupervised.attribute.Remove-V-R1,3-5,9-12,18,31,39,44,82,84,168,176,180,182-183,188,228,254,274'

@attribute Temp_max numeric
@attribute slowCool {yes,no}
@attribute pH numeric
@attribute leak {yes,no}
@attribute numberComponents numeric
@attribute orgavgpolMax numeric
@attribute orgrefractivityMax numeric
@attribute orgmaximalprojectionareaMax numeric
@attribute orgavgpol_pHdependentMax numeric
@attribute orgmaximalprojectionareaMin numeric
@attribute orgvanderwaalsMin numeric
@attribute orgASA_PMin numeric
@attribute orgASA_PGeomAvg numeric
@attribute orghbdamsaccGeomAvg numeric
@attribute Na {yes,no}
@attribute Mo {yes,no}
@attribute S {yes,no}
@attribute Se {yes,no}
@attribute Zn {yes,no}
@attribute Cr {yes,no}
@attribute PaulingElectronegMax numeric
@attribute hardnessMaxWeighted numeric
@attribute outcome {1,2}

@data
90,yes,2,no,3,12.65,34.07,34.07,13.36,34.07,211.8,17.76,17.76,0,no,no,no,yes,no,no,2.55,2.2798,2
90,yes,2,no,3,12.65,34.07,34.07,13.36,34.07,211.8,17.76,17.76,0,no,no,no,yes,no,no,2.55,2.3121,2
90,yes,2,no,3,12.65,34.07,34.07,13.36,34.07,211.8,17.76,17.76,0,no,no,no,yes,no,no,2.55,2.2092,2
90,yes,1,no,3,12.65,34.07,34.07,13.36,34.07,211.8,17.76,17.76,0,no,no,no,yes,no,no,2.55,2.337,2
90,yes,2,no,3,7.08,17.87,28.05,7.76,28.05,207.08,96.11,96.11,0,no,no,no,yes,no,no,2.55,3.7431,2
90,yes,2,no,3,7.08,17.87,28.05,7.76,28.05,207.08,96.11,96.11,0,no,no,no,yes,no,no,2.55,3.9519,2
90,yes,2,no,3,7.08,17.87,28.05,7.76,28.05,207.08,96.11,96.11,0,no,no,no,yes,no,no,2.55,2.6859,2
110,yes,2,no,2,7.08,17.87,28.05,7.76,28.05,207.08,96.11,96.11,0,no,no,no,no,no,no,1.63,0.3014,1
110,yes,2,no,2,7.08,17.87,28.05,7.76,28.05,207.08,96.11,96.11,0,no,no,no,no,no,no,1.63,0.3002,1
110,yes,2,yes,2,13.33,37.45,47.62,13.69,47.62,294.5,31.24,31.24,1.12,no,no,no,no,no,no,1.63,0.302,2
110,yes,2,no,2,9.73,26.34,36.07,9.73,36.07,281.27,33.93,33.93,1.27,no,no,no,no,no,no,1.63,0.3004,2
110,yes,2,no,2,13.88,34.29,44.31,14.51,44.31,258.23,32.37,32.37,0,no,no,no,no,no,no,1.63,0.3079,1
110,yes,2,no,2,11.87,30.93,41.87,12.17,41.87,310.74,45.39,45.39,1.07,no,no,no,no,no,no,1.63,0.2953,2
110,yes,2,no,2,11.87,30.93,41.87,12.17,41.87,310.74,45.39,45.39,1.07,no,no,no,no,no,no,1.63,0.2932,2
110,yes,2,no,2,11.97,30.74,39.23,12.54,39.23,238.74,27.89,27.89,0,no,no,no,no,no,no,1.63,0.2973,2
110,yes,2,no,2,12.56,30.59,43.79,13.52,43.79,282.76,112.14,112.14,0,no,no,no,no,no,no,1.63,0.3109,2
110,yes,2,no,2,12.56,30.59,43.79,13.52,43.79,282.76,112.14,112.14,0,no,no,no,no,no,no,1.63,0.294,2
110,yes,2,no,2,18.04,43.32,55.87,19.47,55.87,353.93,128.75,128.75,0,no,no,no,no,no,no,1.63,0.3027,2
110,yes,2,no,2,18.04,43.32,55.87,19.47,55.87,353.93,128.75,128.75,0,no,no,no,no,no,no,1.63,0.3353,2
110,yes,2,no,2,14.87,38.01,45.76,15.43,45.76,340.09,16.6,16.6,0,no,no,no,no,no,no,1.63,0.3037,2
110,yes,2,no,2,11.15,27.42,38.27,11.76,38.27,295.52,44.53,44.53,0,no,no,no,no,no,no,1.63,0.2896,2
110,yes,2,no,2,11.15,27.42,38.27,11.76,38.27,295.52,44.53,44.53,0,no,no,no,no,no,no,1.63,0.3004,2
110,yes,2,no,3,18.04,43.32,55.87,19.47,55.87,353.93,128.75,128.75,0,no,no,no,yes,no,no,2.55,3.6913,2
110,yes,2,no,3,18.04,43.32,55.87,19.47,55.87,353.93,128.75,128.75,0,no,no,no,yes,no,no,2.55,4.4776,2
110,yes,2,no,3,11.15,27.42,38.27,11.76,38.27,295.52,44.53,44.53,0,no,no,no,yes,no,no,2.55,4.3916,2
110,yes,2,no,3,9.94,25.21,32.65,10.63,32.65,206.42,64.03,64.03,0,no,no,no,yes,no,no,2.55,3.3969,2
110,yes,2,no,3,12.65,34.07,34.07,13.36,34.07,211.8,17.76,17.76,0,no,no,no,yes,no,no,2.55,4.5617,2
110,yes,2,no,3,12.65,34.07,34.07,13.36,34.07,211.8,17.76,17.76,0,no,no,no,yes,no,no,2.55,3.3801,2
110,yes,2,no,3,9.88,25.45,33.73,10.57,33.73,203.38,41.81,41.81,0,no,no,no,yes,no,no,2.55,3.5774,2
110,yes,2,yes,3,9.88,25.45,33.73,10.57,33.73,203.38,41.81,41.81,0,no,no,no,yes,no,no,2.55,5.2817,1
90,yes,2,no,3,14.87,38.01,45.76,15.43,45.76,340.09,16.6,16.6,0,no,no,no,yes,no,no,2.55,2.2116,2
