"chemicalClass.label"	"compound.abbrev"
"Inorg"	"NH4VO3"
"Inorg"	"V2O5"
"Inorg"	"SeO2"
"pH"	"H2SeO3"
"Water"	"water"
"Org"	"1,3-dap"
"Org"	"1,4-dab"
"Org"	"1,5-dap"
"Org"	"1,6-dah"
"Org"	"pip"
"Org"	"2,5-dmpip"
"Org"	"aep"
"Org"	"1-mpip"
"Org"	"2,6-dmpip"
"Org"	"1,4-dmpip"
"Org"	"bapp"
"Org"	"hpip"
"Org"	"tren"
"Org"	"deta"
"Org"	"teta"
"Org"	"dmed"
"Org"	"tmed"
"Org"	"dmeed"
"Org"	"pyz"
"Org"	"2-mpyz"
"Org"	"dabco"
"Org"	"hmta"
"Org"	"1,2-dap"
"Org"	"2-mpip"
"Org"	"R-2-mpip"
"Org"	"S-2-mpip"
"Org"	"aqnHCl"
"Org"	"R-aqnHCl"
"Org"	"S-aqnHCl"
"Org"	"3-apyrHCl"
"Org"	"R-3-apyrHCl"
"Org"	"S-3-apyrHCl"
"Org"	"3-apdinHCl"
"Org"	"R-3-apdinHCl"
"Org"	"S-3-apdinHCl"
"Inorg"	"VOSO4"
"Inorg"	"NaVO3"
"Ox"	"Na2C2O4"
"Org"	"S-3-apyr"
"Inorg"	"Na2TeO3"
"Org"	"1-2-aepip"
"Inorg"	"Na2SeO3"
"Org"	"1,4-dmpipHCl"
"Org"	"1,7-dah"
"Org"	"1,8-dao"
"Org"	"1-epip"
"Org"	"2-aminoheptane"
"Org"	"1,2-dach"
"Sol"	"Ethyl alcohol"
"Sol"	"Ethylene glycol"
"Inorg"	"Na2CO3"
"Org"	"tbaBr"
"pH"	"LiOH"
"Inorg"	"copper chloride dihydrate"
"pH"	"CsOH"
"Inorg"	"Li2CO3"
"Inorg"	"lithium vanadium trioxide"
"Org"	"imid"
"Org"	"1-methylheptamine"
"Org"	"1-mhep"
"Org"	"2-aoct"
"Org"	"aminoethylpiperazine"
"Inorg"	"sodium vanadium trioxide"
"Inorg"	"potassium vanadium trioxide"
"Org"	"1,9-dan"
"Inorg"	"MoO3"
"pH"	"H2SO4"
"pH"	"Ac"
"pH"	"HF"
"Org"	"4-aminopyridine"
"Org"	"1,4-phenylenediamine"
"Org"	"XD"
"Inorg"	"TeO2"
"pH"	"H2SeO4"
"Org"	"2,5-dmpyz"
"Org"	"4-aminobenzylamine"
"Org"	"L-Lysine"
"Org"	"Ala"
"Org"	"sec-2-butylamine"
"Org"	"dianilanoethane"
"Org"	"3-apyr"
"Org"	"cyclohexylamine"
"Org"	"(S)-(-)-2-aminomethyl-1-ethylpyrrolidine"
"Org"	"3-aqn"
"Org"	"meso-1,2-diphenylethylenediamine"
"Inorg"	"HIO3"
"Org"	"deed"
"Inorg"	"ZnO"
"pH"	"HCl"
"Inorg"	"H3PO4"
"Org"	"N-(1-Phenylethyl)-1-azabicyclo[2,2,2]octa-3-amine"
"Inorg"	"Zn(NO3)2"
"Inorg"	"Ga2O3"
"Inorg"	"Ga(NO3)3"
"Inorg"	"Co(NO3)2"
"Org"	"1,10-dad"
"Inorg"	"KF"
"Inorg"	"NH4F"
"Org"	"en"
"pH"	"H3PO3"
"Org"	"tepa"
"Inorg"	"K2Cr2O7"
"Inorg"	"NaF"
"Org"	"EtOH"
"Inorg"	"N2H4"
"Inorg"	"Mo"
"Org"	"hexamine"
"Inorg"	"Na2MoO4"
"Inorg"	"Na2VO3"
"Inorg"	"CuCl2*2H2O"
"Inorg"	"Na2mal"
"Inorg"	"KVO3"
"pH"	"malH2"
"Org"	"Hexamethyl en"
"Org"	"Lys"
"pH"	"pyz-COOH"
"pH"	"85H3PO4"
"pH"	"37HCl"
"pH"	"squH2"
"pH"	"phtH2"
"Inorg"	"LiVTeO5"
"Inorg"	"NaVTeO5"
"Inorg"	"LiVO3"
"Org"	"3-apyrhHCl"
"Org"	"peha"
"pH"	"i-phtH2"
"Org"	"dea"
"Org"	"1,7-dah sulfate"
"Inorg"	"CSVTeO5"
"Water"	"H2O"
"Org"	"5-atmchma"
"Org"	"3-dbapa"
"Org"	"1,3-chbma"
"Org"	"3-deap"
"Org"	"tmpda"
"Org"	"tmdp"
"Org"	"tmbda"
"Org"	"4,4'-mbmcha"
"Org"	"2-amp"
"Org"	"3-dmpa"
"Org"	"N,N,2,2-tmpd"
"Org"	"2-adeap"
"Org"	"N-peda"
"Org"	"1-chp"
"Org"	"3-mapa"
"Org"	"4-1-pp"
"Org"	"3-apdhcl"
"Org"	"4-apip"
"Org"	"N,N'-dipeda"
"Org"	"1-2-aep"
"Org"	"N,N'-dmhda"
