Symbol,Group,Period,Actinide,AlkaliMetal,Lanthanide,Metalloid,Nonmetal,Noblegas,IonizationEnergies,ElectronAffinity,PaulingElectronegativity,PearsonElectronegativity,hardness,Valence,AtomicRadius
H,1,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1312,72.8,2.2,692.4,619.6,1,53
He,18,1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2372.3,0,"Missing[""NotApplicable""]",1186.15,1186.15,0,31
Li,1,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,520.2,59.6,0.98,289.9,230.3,1,167
Be,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,899.5,0,1.57,449.75,449.75,2,112
B,13,2,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,800.6,26.7,2.04,413.6,387,3,87
C,14,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1086.5,153.9,2.55,620.2,466.3,4,67
N,15,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1402.3,7,3.04,705,698,3,56
O,16,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1313.9,141,3.44,727.5,586.4,2,48
F,17,2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1681,328,3.98,1005,677,1,42
Ne,18,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2080.7,0,"Missing[""NotApplicable""]",1040.35,1040.35,0,38
Na,1,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,495.8,52.8,0.93,274.3,221.5,1,190
Mg,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,737.7,0,1.31,368.85,368.85,2,145
Al,13,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,577.5,42.5,1.61,310,267.5,3,118
Si,14,3,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,786.5,133.6,1.9,460,326.5,4,111
P,15,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1011.8,72,2.19,542,470,5,98
S,16,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,999.6,2.00E+02,2.58,6.00E+02,4.00E+02,6,88
Cl,17,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1251.2,349,3.16,800.1,451.1,5,79
Ar,18,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1520.6,0,"Missing[""NotApplicable""]",760.3,760.3,0,71
K,1,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,418.8,48.4,0.82,233.6,185.2,1,243
Ca,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,589.8,2.37,1,296.1,293.7,2,194
Sc,3,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,633.1,18.1,1.36,325.6,307.5,3,184
Ti,4,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,658.8,7.6,1.54,333.2,325.6,4,176
V,5,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,650.9,50.6,1.63,350.7,300.1,5,171
Cr,6,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,652.9,64.3,1.66,358.6,294.3,6,166
Mn,7,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,717.3,0,1.55,358.65,358.65,4,161
Fe,8,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,762.5,15.7,1.83,389.1,373.4,3,156
Co,9,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,760.4,63.7,1.88,412,348.4,4,152
Ni,10,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,737.1,112,1.91,424.6,312.6,2,149
Cu,11,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,745.5,118.4,1.9,431.9,313.5,2,145
Zn,12,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,906.4,0,1.65,453.2,453.2,2,142
Ga,13,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,578.8,28.9,1.81,303.9,275,3,136
Ge,14,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,762,119,2.01,440,321,4,125
As,15,4,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,947,78,2.18,512,435,5,114
Se,16,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,941,195,2.55,568,373,6,103
Br,17,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1139.9,324.6,2.96,732.3,407.6,5,94
Kr,18,4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1350.8,0,3,675.4,675.4,2,88
Rb,1,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,403,46.9,0.82,224.9,178.1,1,265
Sr,2,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,549.5,5.03,0.95,277.3,272.2,2,219
Y,3,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6.00E+02,29.6,1.22,3.10E+02,2.90E+02,3,212
Zr,4,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,640.1,41.1,1.33,340.6,299.5,4,206
Nb,5,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,652.1,86.1,1.6,369.1,283,5,198
Mo,6,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,684.3,71.9,2.16,378.1,306.2,6,190
Tc,7,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,702,53,1.9,378,324,6,183
Ru,8,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,710.2,101.3,2.2,405.7,304.5,6,178
Rh,9,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,719.7,109.7,2.28,414.7,305,6,173
