Abbreviation,Name,CAS number,"type (i = inorganic, o=organic, w=water, s=solvent, p=pH)",,,,
NH4VO3,ammonium metavanadate,7803-55-6,i,,,,
V2O5,vanadium(V) oxide,1314-62-1,i,,,,
SeO2,Selenium dioxide,7446-08-4,i,,,,
H2SeO3,selenous acid,7783-00-8,i,,,,
water,water,7732-18-5,w,,,,
en,ethylenediamine,107-15-3,o,,,,
"1,3-dap","1,3-diaminopropane",109-76-2,o,,,,
"1,4-dab","1,4-diaminobutane",110-60-1,o,,,,
"1,5-dap","1,5-diaminopentane",462-94-2,o,,,,
"1,6-dah","1,6-diaminohexane",124-09-4,o,,,,
pip,piperazine,110-85-0,o,,,,
"2,5-dmpip","2,5-dimethylpiperazine",2815-34-1,o,,,,
aep,1- (2-aminoethyl)piperazine,140-31-8,o,,,,
1-mpip,1-methylpiperazine,109-01-3,o,,,,
"2,6-dmpip","2,6-dimethylpiperazine",108-49-6,o,,,,
"1,4-dmpip","1,4-dimethylpiperazine",106-58-1,o,,,,
bapp,"1,4-bis(3-aminopropyl)piperazine",7209-38-3,o,,,,
hpip,homopiperazine,505-66-8,o,,,,
tren,tris(2-aminoethyl)amine,4097-89-6,o,,,,
deta,diethylenetriamine,111-40-0,o,,,,
teta,triethylenetetramine,305808-21-3,o,,,,
dmed,"N,N’-dimethylethylenediamine",110-70-3,o,,,,
tmed,"N,N,N',N'-Tetramethylethylenediamine",110-18-9,o,"js: was given as N,N,N',N'-tetramethylenediamine; parser didn't like that",,,
dmeed,"N,N-dimethyl-N’-ethylethylenediamine",123-83-1,o,,,,
pyz,"N,N-dimethyl-N’-ethylethylenediamine",290-37-9,o,,,,
2-mpyz,2-methylpyrazine,109-08-0,o,,,,
dabco,"1,4-diazabicyclo[2.2.2]octane",280-57-9,o,,,,
hmta,"1,3,5,7- tetraazaadamantane",100-97-0,o,js: was given as hexamethylenetetramine; parser didn't like,,,
"1,2-dap","1,2-diaminopropane",78-90-0,o,,,,
2-mpip,2-methylpiperazine,109-07-9,o,,,,
R-2-mpip,R -2-methylpiperazine,75336-86-6,o,,,,
S-2-mpip,S -2-methylpiperazine,74879-18-8,o,,,,
aqnHCl,3-aminoquinuclidine dihydrochloride,9/2/6530,o,,ajn: I added 'HCl' to the name (here and in the Dark Reactions database).,,
R-aqnHCl,R-3-aminoquinuclidine dihydrochloride,123536-14-1,o,,ajn: I added 'HCl' to the name (here and in the Dark Reactions database).,,
S-aqnHCl,(S)-3-aminoquinuclidine dihydrochloride,119904-90-4,o,"js: for some reason, the parser can tolerate R without parentheses, but needs it in parenthesesi for the S enantiomer",ajn: I added 'HCl' to the name (here and in the Dark Reactions database).,,
3-apyrHCl,3-aminopyrrolidine dihydrochloride,11/4/103831,o,,ajn: I added 'HCl' to the name (here and in the Dark Reactions database).,,
R-3-apyrHCl,R-3-aminopyrrolidine dihydrochloride,116183-81-4,o,,ajn: I added 'HCl' to the name (here and in the Dark Reactions database).,,
