Reaction number,Reactant 1 name,Reactant 1 mass (g),Reactant 2 name,Reactant 2 mass (g),Reactant 3 name,Reactant 3 mass (g),Reactant 4 name,Reactant 4 mass (g),Reactant 5 name,Reactant 5 mass (g),Temp (ºC),Time (h),Slow cool,pH (x = unknown),Leak,purity (0 = no data in notebook; 1 = multiphase; 2 = single phase),"outcome (0 = no data in notebook, 1 = no solid; 2 = noncrystalline/brown; 3 = powder/crystallites; 4 = large single crystals)",Notes
jho210.1,NH4VO3,0.1198,SeO2,0.6782,dabco,0.1197,water,6.5548,x,-1,90,48,yes,1.5,no,1,3,
jho210.2,NH4VO3,0.1174,SeO2,0.6816,dabco,0.0316,water,6.7293,x,-1,90,48,yes,1.5,no,2,3,
jho210.3,NH4VO3,0.0627,SeO2,0.6878,dabco,0.1178,water,6.3981,x,-1,90,48,yes,1.5,no,1,3,
jho210.4,NH4VO3,0.062,SeO2,0.6434,dabco,0.0238,water,6.3997,x,-1,90,48,yes,1,no,2,3,
jho210.5,V2O5,0.096,SeO2,0.6572,dabco,0.119,water,6.8529,x,-1,90,48,yes,1.5,no,2,4,
jho210.6,V2O5,0.0952,SeO2,0.6952,dabco,0.0245,water,6.0024,x,-1,90,48,yes,1,no,1,3,
jho212.1,NH4VO3,0.115,SeO2,1.1135,en,0.0728,water,6.0882,x,-1,90,48,yes,1.5,no,1,3,
jho212.2,NH4VO3,0.1121,SeO2,1.1756,en,0.1069,water,6.6781,x,-1,90,48,yes,1.5,no,1,3,
jho212.3,NH4VO3,0.1177,SeO2,1.1938,en,0.0621,water,6.062,x,-1,90,48,yes,1.5,no,1,3,
jho212.4,NH4VO3,0.112,SeO2,0.799,en,0.0666,water,6.5255,x,-1,90,48,yes,1.5,no,1,3,
jho213.1,NH4VO3,0.1175,H2SeO3,1.0791,en,0.0706,water,6.0102,x,-1,110,48,yes,1.5,no,1,2,
jho213.2,NH4VO3,0.117,H2SeO3,1.3431,en,0.0771,water,6.0448,x,-1,110,48,yes,1.5,no,1,2,
jho213.3,NH4VO3,0.1191,H2SeO3,1.0941,aqnHCl,0.2021,water,6.3565,x,-1,110,48,yes,1.5,no,1,3,
jho213.4,NH4VO3,0.1177,H2SeO3,1.2942,aqnHCl,0.2478,water,6.0441,x,-1,110,48,yes,1.5,yes,1,3,
jho213.5,NH4VO3,0.1171,H2SeO3,1.0404,2-mpip,0.1182,water,6.017,x,-1,110,48,yes,1.5,no,1,3,
jho213.6,NH4VO3,0.1143,H2SeO3,1.299,2-mpip,0.1303,water,6.0636,x,-1,110,48,yes,1.5,no,1,3,
jho213.7,NH4VO3,0.12,H2SeO3,1.0519,"2,5-dmpip",0.1269,water,6.0326,x,-1,110,48,yes,1.5,no,1,2,
jho213.8,NH4VO3,0.1123,H2SeO3,1.2833,"2,5-dmpip",0.123,water,6.0107,x,-1,110,48,yes,1.5,no,1,2,
jho213.9,NH4VO3,0.1151,H2SeO3,1.0622,"2,6-dmpip",0.1295,water,6.1629,x,-1,110,48,yes,1.5,no,2,3,
jho213.10,NH4VO3,0.1143,H2SeO3,1.2957,"2,6-dmpip",0.1174,water,6.0823,x,-1,110,48,yes,1.5,no,2,3,
jho213.11,NH4VO3,0.1202,H2SeO3,1.0326,1-mpip,0.1134,water,6.0318,x,-1,110,48,yes,1.5,no,1,3,
jho213.12,NH4VO3,0.1159,H2SeO3,1.304,1-mpip,0.1153,water,6.0587,x,-1,110,48,yes,1.5,no,1,3,
jho213.13,NH4VO3,0.1212,H2SeO3,1.0358,deta,0.1104,water,6.1441,x,-1,110,48,yes,1.5,no,2,4,
jho213.14,NH4VO3,0.1146,H2SeO3,1.3228,deta,0.1277,water,6.0065,x,-1,110,48,yes,1.5,no,2,4,
jho213.15,NH4VO3,0.118,H2SeO3,1.03,teta,0.1485,water,6.5663,x,-1,110,48,yes,1.5,no,1,4,
jho213.16,NH4VO3,0.1307,H2SeO3,1.3158,teta,0.2345,water,6.0106,x,-1,110,48,yes,1.5,no,1,4,
jho213.17,NH4VO3,0.1217,H2SeO3,1.2805,tmed,0.1179,water,6.299,x,-1,110,48,yes,1.5,no,1,3,
jho213.18,NH4VO3,0.1184,H2SeO3,1.0327,tmed,0.1169,water,6.0421,x,-1,110,48,yes,1.5,no,1,3,
jho213.19,NH4VO3,0.1129,H2SeO3,1.0696,dmed,0.091,water,6.1178,x,-1,110,48,yes,1.5,no,1,4,
jho213.20,NH4VO3,0.1171,H2SeO3,1.3558,dmed,0.0851,water,6.0548,x,-1,110,48,yes,1.5,no,2,4,
jho218.1,NH4VO3,0.1172,SeO2,1.0981,teta,0.1479,water,7.2361,x,-1,110,48,yes,1.5,no,1,4,
jho218.2,NH4VO3,0.1208,SeO2,1.332,teta,0.1525,water,7.0913,x,-1,110,48,yes,1.5,no,1,4,
jho218.3,NH4VO3,0.118,SeO2,1.0601,dmed,0.0938,water,7.0326,x,-1,110,48,yes,1.5,no,1,4,
jho218.4,NH4VO3,0.1176,SeO2,1.3064,dmed,0.0977,water,7.3199,x,-1,110,48,yes,1.5,no,1,3,
jho218.5,NH4VO3,0.1259,SeO2,1.0105,3-apyrHCl,0.1583,water,7.0121,x,-1,110,48,yes,1.5,no,1,3,"js: this read 3-apry, assuming it is an error and corrected it"
jho218.6,NH4VO3,0.116,SeO2,1.3768,3-apyrHCl,0.1584,water,7.2458,x,-1,110,48,yes,1.5,no,1,4,"js: this read 3-apry, assuming it is an error and corrected it"
jho218.7,NH4VO3,0.1153,SeO2,1.357,dabco,0.1282,water,7.2312,x,-1,110,48,yes,1.5,no,2,3,
jho218.8,NH4VO3,0.1194,SeO2,1.0055,dabco,0.1254,water,7.2502,x,-1,110,48,yes,1.5,no,2,3,
jho218.9,NH4VO3,0.1172,SeO2,0.9812,hpip,0.1027,water,7.0367,x,-1,110,48,yes,1.5,no,1,3,
jho218.10,NH4VO3,0.1185,SeO2,1.3253,hpip,0.1054,water,7.2456,x,-1,110,48,yes,1.5,no,1,3,
jho218.11,NH4VO3,0.1174,SeO2,1.0642,pip,0.0961,water,7.1912,x,-1,110,48,yes,1.5,no,1,3,
jho218.12,NH4VO3,0.1195,SeO2,1.5712,pip,0.1067,water,7.3876,x,-1,110,48,yes,1.5,yes,0,0,
jho220.1,NH4VO3,0.1186,SeO2,0.4493,tmed,0.1183,water,9.2845,x,-1,90,24,yes,1.5,no,2,3,
jho220.2,NH4VO3,0.1145,SeO2,0.6579,tmed,0.127,water,8.8595,x,-1,90,24,yes,1.5,no,2,3,
jho220.3,NH4VO3,0.116,SeO2,1.2025,tmed,0.1234,water,9.3759,x,-1,90,24,yes,1.5,no,2,3,
jho220.4,NH4VO3,0.121,SeO2,1.3258,tmed,0.1137,water,8.9073,x,-1,90,24,yes,1.5,no,2,3,
jho220.5,NH4VO3,0.1168,SeO2,0.6965,deta,0.1385,water,8.9696,x,-1,90,24,yes,1.5,no,1,4,
