date, performedBy
2016-01-12,['Norquist Lab']
2016-01-12,['Norquist Lab']
2016-01-12,['Norquist Lab']
2016-01-21,['Norquist Lab']
2016-01-21,['Norquist Lab']
2016-01-21,['Norquist Lab']
2016-01-21,['Norquist Lab']
2016-01-21,['Norquist Lab']
2016-01-21,['Norquist Lab']
2016-01-21,['Norquist Lab']
2016-01-21,['Norquist Lab']
2016-01-21,['Norquist Lab']
2016-02-09,['Norquist Lab']
2016-02-09,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
2016-05-02,['Norquist Lab']
